Material,Target_D50,Trial,theta_gpr,theta_gpr_sigma,reachable,cross_type,k_star,S_AE_at_k_star,min_S_AE,margin,n_cycles,Measured_D50
Citricacid,20,1st,38.760577496463526,38.05989422960537,True,last_cross,23,36.26458406911584,36.26458406911584,-2.4959934273476847,24,21.272009219441358
Citricacid,20,2nd,38.760577496463526,38.05989422960537,True,last_cross,28,33.956528592172965,33.956528592172965,-4.8040489042905605,29,14.075905155711363
Citricacid,20,3rd,38.760577496463526,38.05989422960537,True,last_cross,26,30.385245777751003,30.385245777751003,-8.375331718712523,27,16.87195439981289
Citricacid,50,1st,151.751865336049,39.139989963369864,True,last_cross,13,136.04917486421658,136.04917486421658,-15.702690471832426,14,46.069932009211314
Citricacid,50,2nd,151.751865336049,39.139989963369864,True,last_cross,16,115.0393280158252,115.0393280158252,-36.7125373202238,17,31.445636319257012
Citricacid,50,3rd,151.751865336049,39.139989963369864,True,last_cross,14,147.64047590765298,147.64047590765298,-4.1113894283960235,15,37.32884736783548
Citricacid,100,1st,419.7738627732166,39.880186782284824,True,last_cross,7,362.4283409777658,362.4283409777658,-57.34552179545079,8,83.2364100795578
Citricacid,100,2nd,419.7738627732166,39.880186782284824,True,last_cross,7,398.2921123969994,398.2921123969994,-21.481750376217178,8,100.21029022100892
Citricacid,100,3rd,419.7738627732166,39.880186782284824,True,last_cross,7,396.3997998335549,396.3997998335549,-23.374062939661712,8,111.58273301475734
MSG,50,1st,377.54925816342654,131.2102795504857,True,last_cross,24,338.63703961662355,338.63703961662355,-38.91221854680299,25,53.10830157465986
MSG,50,2nd,377.54925816342654,131.2102795504857,True,last_cross,24,370.0773370472001,370.0773370472001,-7.47192111622644,25,54.937551801733015
MSG,50,3rd,377.54925816342654,131.2102795504857,True,last_cross,27,351.6801200310383,351.6801200310383,-25.86913813238823,28,50.079034369876375
MSG,100,1st,608.7189237357518,138.783444872301,True,last_cross,11,607.0577192961571,607.0577192961571,-1.6612044395947123,12,129.25126539829577
MSG,100,2nd,608.7189237357518,138.783444872301,True,last_cross,11,605.4434730808151,605.4434730808151,-3.2754506549366624,12,124.92381711475167
MSG,100,3rd,608.7189237357518,138.783444872301,True,last_cross,11,576.8193733577356,576.8193733577356,-31.899550378016215,12,123.9249330540139
MSG,200,1st,1065.4752688742117,136.4736621869596,True,last_cross,8,920.294605909186,920.294605909186,-145.1806629650257,9,179.5878697069383
MSG,200,2nd,1065.4752688742117,136.4736621869596,True,last_cross,7,934.4885327213892,934.4885327213892,-130.98673615282246,8,203.29037689684492
MSG,200,3rd,1065.4752688742117,136.4736621869596,True,last_cross,7,1041.9887066319602,1041.9887066319602,-23.486562242251466,8,189.03287160734268
NaCl,150,1st,46.951954492790826,14.310749570465049,True,last_cross,19,46.36089741868371,46.36089741868371,-0.5910570741071126,20,133.36230240096396
NaCl,150,2nd,46.951954492790826,14.310749570465049,True,last_cross,23,43.95892358010045,43.95892358010045,-2.9930309126903722,24,123.80627634317088
NaCl,150,3rd,46.951954492790826,14.310749570465049,True,last_cross,21,43.90811744380238,43.90811744380238,-3.0438370489884434,22,139.81226652875748
NaCl,200,1st,88.43383418322769,14.333458249009697,True,last_cross,12,86.1435716372302,86.1435716372302,-2.290262545997493,13,196.06905313065772
NaCl,200,2nd,88.43383418322769,14.333458249009697,True,last_cross,12,86.49338584268455,86.49338584268455,-1.940448340543142,13,204.38753093854234
NaCl,200,3rd,88.43383418322769,14.333458249009697,True,last_cross,12,83.87542267241523,83.87542267241523,-4.558411510812462,13,189.5014959569752
NaCl,250,1st,141.98144735194154,14.262090507596456,True,last_cross,8,127.72186786886193,127.72186786886193,-14.259579483079605,9,223.63154378301905
NaCl,250,2nd,141.98144735194154,14.262090507596456,True,last_cross,7,136.75040199131456,136.75040199131456,-5.231045360626979,8,252.07423035335492
NaCl,250,3rd,141.98144735194154,14.262090507596456,True,last_cross,7,134.1770458681974,134.1770458681974,-7.80440148374413,8,238.22189823722175
