Material,Target_D50,Trial,theta_logistic,reachable,cross_type,k_star,S_AE_at_k_star,min_S_AE,margin,n_cycles,Measured_D50
Citricacid,20,1st,40.36492401896126,True,last_cross,23.0,36.26458406911584,36.26458406911584,-4.10033994984542,24,21.272009219441358
Citricacid,20,2nd,40.36492401896126,True,earlier_cross,26.0,39.12217240289794,33.956528592172965,-6.408395426788296,29,14.075905155711363
Citricacid,20,3rd,40.36492401896126,True,earlier_cross,25.0,40.11074599546822,30.385245777751003,-9.979678241210259,27,16.87195439981289
Citricacid,50,1st,139.50395667989693,True,last_cross,13.0,136.04917486421658,136.04917486421658,-3.4547818156803487,14,46.069932009211314
Citricacid,50,2nd,139.50395667989693,True,last_cross,16.0,115.0393280158252,115.0393280158252,-24.464628664071725,17,31.445636319257012
Citricacid,50,3rd,139.50395667989693,False,unreach,,,147.64047590765298,8.136519227756054,15,37.32884736783548
Citricacid,100,1st,428.168628346602,True,last_cross,7.0,362.4283409777658,362.4283409777658,-65.74028736883622,8,83.2364100795578
Citricacid,100,2nd,428.168628346602,True,last_cross,7.0,398.2921123969994,398.2921123969994,-29.876515949602606,8,100.21029022100892
Citricacid,100,3rd,428.168628346602,True,last_cross,7.0,396.3997998335549,396.3997998335549,-31.76882851304714,8,111.58273301475734
MSG,50,1st,392.25381287823336,True,earlier_cross,22.0,385.8854347971261,338.63703961662355,-53.61677326160981,25,53.10830157465986
MSG,50,2nd,392.25381287823336,True,last_cross,19.0,385.2387908873467,370.0773370472001,-22.176475831033258,25,54.937551801733015
MSG,50,3rd,392.25381287823336,True,last_cross,27.0,351.6801200310383,351.6801200310383,-40.57369284719505,28,50.079034369876375
MSG,100,1st,527.535487707303,False,unreach,,,607.0577192961571,79.52223158885408,12,129.25126539829577
MSG,100,2nd,527.535487707303,False,unreach,,,605.4434730808151,77.90798537351213,12,124.92381711475167
MSG,100,3rd,527.535487707303,False,unreach,,,576.8193733577356,49.28388565043258,12,123.9249330540139
MSG,200,1st,1114.1471866676866,True,last_cross,8.0,920.294605909186,920.294605909186,-193.8525807585006,9,179.5878697069383
MSG,200,2nd,1114.1471866676866,True,earlier_cross,6.0,1103.0685709626978,934.4885327213892,-179.65865394629736,8,203.29037689684492
MSG,200,3rd,1114.1471866676866,True,last_cross,7.0,1041.9887066319602,1041.9887066319602,-72.15848003572637,8,189.03287160734268
NaCl,150,1st,45.81638735198726,False,unreach,,,46.36089741868371,0.5445100666964535,20,133.36230240096396
NaCl,150,2nd,45.81638735198726,True,last_cross,23.0,43.95892358010045,43.95892358010045,-1.8574637718868061,24,123.80627634317088
NaCl,150,3rd,45.81638735198726,True,last_cross,21.0,43.90811744380238,43.90811744380238,-1.9082699081848773,22,139.81226652875748
NaCl,200,1st,85.22756628665213,False,unreach,,,86.1435716372302,0.916005350578061,13,196.06905313065772
NaCl,200,2nd,85.22756628665213,False,unreach,,,86.49338584268455,1.2658195560324117,13,204.38753093854234
NaCl,200,3rd,85.22756628665213,True,last_cross,12.0,83.87542267241523,83.87542267241523,-1.3521436142369083,13,189.5014959569752
NaCl,250,1st,143.8083581371204,True,last_cross,8.0,127.72186786886193,127.72186786886193,-16.08649026825846,9,223.63154378301905
NaCl,250,2nd,143.8083581371204,True,last_cross,7.0,136.75040199131456,136.75040199131456,-7.057956145805832,8,252.07423035335492
NaCl,250,3rd,143.8083581371204,True,last_cross,7.0,134.1770458681974,134.1770458681974,-9.631312268922983,8,238.22189823722175
