Material,Target_D50,Trial,theta_hardgp_bernstein,theta_hardgp_bernstein_sigma,reachable,cross_type,k_star,S_AE_at_k_star,min_S_AE,margin,n_cycles,Measured_D50
Citricacid,20,1st,40.537635385100074,18.70814243064208,True,last_cross,23.0,36.26458406911584,36.26458406911584,-4.273051315984233,24,21.272009219441358
Citricacid,20,2nd,40.537635385100074,18.70814243064208,True,earlier_cross,26.0,39.12217240289794,33.956528592172965,-6.581106792927109,29,14.075905155711363
Citricacid,20,3rd,40.537635385100074,18.70814243064208,True,earlier_cross,25.0,40.11074599546822,30.385245777751003,-10.152389607349072,27,16.87195439981289
Citricacid,50,1st,154.38446192530716,39.83387597969731,True,last_cross,13.0,136.04917486421658,136.04917486421658,-18.335287061090582,14,46.069932009211314
Citricacid,50,2nd,154.38446192530716,39.83387597969731,True,last_cross,16.0,115.0393280158252,115.0393280158252,-39.34513390948196,17,31.445636319257012
Citricacid,50,3rd,154.38446192530716,39.83387597969731,True,last_cross,14.0,147.64047590765298,147.64047590765298,-6.74398601765418,15,37.32884736783548
Citricacid,100,1st,418.18329713987623,13.143962887405754,True,last_cross,7.0,362.4283409777658,362.4283409777658,-55.75495616211043,8,83.2364100795578
Citricacid,100,2nd,418.18329713987623,13.143962887405754,True,last_cross,7.0,398.2921123969994,398.2921123969994,-19.891184742876817,8,100.21029022100892
Citricacid,100,3rd,418.18329713987623,13.143962887405754,True,last_cross,7.0,396.3997998335549,396.3997998335549,-21.78349730632135,8,111.58273301475734
MSG,50,1st,389.3610925812432,109.43427506768838,True,last_cross,22.0,385.8854347971261,338.63703961662355,-50.72405296461966,25,53.10830157465986
MSG,50,2nd,389.3610925812432,109.43427506768838,True,last_cross,19.0,385.2387908873467,370.0773370472001,-19.28375553404311,25,54.937551801733015
MSG,50,3rd,389.3610925812432,109.43427506768838,True,last_cross,27.0,351.6801200310383,351.6801200310383,-37.6809725502049,28,50.079034369876375
MSG,100,1st,599.4920498413934,109.43427506768838,False,unreach,,,607.0577192961571,7.565669454763679,12,129.25126539829577
MSG,100,2nd,599.4920498413934,109.43427506768838,False,unreach,,,605.4434730808151,5.951423239421729,12,124.92381711475167
MSG,100,3rd,599.4920498413934,109.43427506768838,True,last_cross,11.0,576.8193733577356,576.8193733577356,-22.672676483657824,12,123.9249330540139
MSG,200,1st,1081.7701693300453,109.43427506768838,True,last_cross,8.0,920.294605909186,920.294605909186,-161.47556342085932,9,179.5878697069383
MSG,200,2nd,1081.7701693300453,109.43427506768838,True,last_cross,7.0,934.4885327213892,934.4885327213892,-147.28163660865607,8,203.29037689684492
MSG,200,3rd,1081.7701693300453,109.43427506768838,True,last_cross,7.0,1041.9887066319602,1041.9887066319602,-39.78146269808508,8,189.03287160734268
NaCl,150,1st,48.17228076502733,11.916494343728449,True,last_cross,19.0,46.36089741868371,46.36089741868371,-1.811383346343618,20,133.36230240096396
NaCl,150,2nd,48.17228076502733,11.916494343728449,True,earlier_cross,22.0,47.29197865675549,43.95892358010045,-4.213357184926878,24,123.80627634317088
NaCl,150,3rd,48.17228076502733,11.916494343728449,True,last_cross,21.0,43.90811744380238,43.90811744380238,-4.264163321224949,22,139.81226652875748
NaCl,200,1st,84.926327457108,11.916494343728449,False,unreach,,,86.1435716372302,1.2172441801221936,13,196.06905313065772
NaCl,200,2nd,84.926327457108,11.916494343728449,False,unreach,,,86.49338584268455,1.5670583855765443,13,204.38753093854234
NaCl,200,3rd,84.926327457108,11.916494343728449,True,last_cross,12.0,83.87542267241523,83.87542267241523,-1.0509047846927757,13,189.5014959569752
NaCl,250,1st,143.98431494841088,11.916494343728449,True,last_cross,8.0,127.72186786886193,127.72186786886193,-16.26244707954895,9,223.63154378301905
NaCl,250,2nd,143.98431494841088,11.916494343728449,True,last_cross,7.0,136.75040199131456,136.75040199131456,-7.233912957096322,8,252.07423035335492
NaCl,250,3rd,143.98431494841088,11.916494343728449,True,last_cross,7.0,134.1770458681974,134.1770458681974,-9.807269080213473,8,238.22189823722175
