Sample Name,Ajinomoto_grind15min_2nd,,
Measurement Date Time,2025/10/03 16:44:39,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,0,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.4136751158232253,,
Dx (50),69.92734813404981,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0.00042041923518360306,0.003277936829256543,0.7725853471096995
0.12847975911886883,0.06145753370592609,0.0039132482752340094,0.8889182378183009
0.14597385201576613,0.09331671743117585,0.004657107503481888,0.615074301779771
0.1658499799381348,0.12522451092045192,0.00554121540491368,0.6595035636579748
0.18843248613120703,0.1577532764562637,0.006592693308370272,0.4936471835326547
0.21408987714579308,0.19084802869827788,0.007840520001823451,0.43078232470975697
0.24324083621327308,0.22446069347339304,0.009319543887892858,0.34487726737593183
0.27636105541524886,0.2584493477389922,0.011080120902706178,0.2923654024950748
0.3139909981367784,0.29260259269196887,0.013179261471081677,0.22490690442899755
0.356744718472697,0.32663094933435,0.01566630332363236,0.18819517956332185
0.4053198815041342,0.36017199968024616,0.0186254559373255,0.15261847401993897
0.4605091479584124,0.3927987994535327,0.0221543695669397,0.12513884254975438
0.5232131090298364,0.4240379259634577,0.02634398389147917,0.10207570947386391
0.5944549824347669,0.45339995452926996,0.03133650455887268,0.08434687539474528
0.675397309514597,0.48042728332785334,0.03726927281196032,0.06845278839441693
0.7673609258538154,0.5047644747285074,0.0443105909890591,0.05945391355071196
0.8718465149800815,0.5262560566918939,0.052699353249123664,0.04828804239433972
0.9905590968645671,0.5450743907550777,0.06268218911264602,0.039867181343078865
1.1254358508315696,0.5618741969564747,0.07455788912105372,0.03207085140752355
1.2786777268980591,0.5779582926115969,0.08868904661518051,0.02602884806123223
1.4527853613842987,0.5954188460286662,0.10550581874234258,0.021163338131345272
1.6505998828747652,0.6171898173371551,0.12553682755785492,0.016968624086541848
1.8753492744104643,0.646915287937702,0.14940901734613643,0.013730547693573888
2.130701048461599,0.688522919168328,0.17762146379472155,0.011095792197795737
2.420822094242961,0.7454247804320193,0.21164730494728437,0.008908764397693985
2.7504466739743543,0.8193868916145952,0.2525217576591168,0.007062744636698471
3.124953677664736,0.9093215044964751,0.3012522236207536,0.005540030048494167
3.550454397081473,1.010494206054199,0.3598763858367056,0.004399214199020195
4.033892251220623,1.1147645480061303,0.4307794014302606,0.0033960579286355973
4.583156090621484,1.2123677086425406,0.5171495956291441,0.002620381177980721
5.207208929451393,1.295204858261938,0.6240039982499064,0.0020052097353498114
5.91623420604064,1.360252022183122,0.7564250726194758,0.0014878625558619567
6.721801958580707,1.410366449420735,0.924615881604425,0.001104804440756334
7.637057627679228,1.4518435328297095,1.103327507116431,0.0008124802654376113
8.676936566695368,1.4914287397398276,1.3122986003347201,0.0006347589889222884
9.858407760284809,1.5331606816768364,1.5607405038510644,0.0004883696069375982
11.200750728209842,1.5764593953024004,1.8564931514763163,0.00038147466606661785
12.72587013299487,1.6178276093579385,2.2078558930646555,0.00029927683391684477
14.45865322526771,1.6539145189574356,2.5989430095798616,0.00022949339923108108
16.427375959662296,1.6834955536515253,3.0881404469425093,0.00018121230980083962
18.664164408375882,1.7083565184581175,3.663490578476414,0.0001394358372253902
21.205519001833704,1.734253492213778,4.329116198992359,0.00010835772588818727
24.092910151141346,1.7688037328653792,5.265369814103447,9.402306561647435E-05
27.3734549718295,1.818295221693539,6.241146298105407,4.89857383396968E-05
31.100686151825478,1.885110264847647,7.665212436137851,1.320411140532983E-05
35.33542551021658,1.964843557718524,9.941660953074798,1.562113762936071E-08
40.14677650173894,2.0448027379300484,0,0
45.613251862909266,2.106727138755062,,
51.82405480098948,2.13347676046822,,
58.88053463252163,2.1157904243380727,,
66.8978406248788,2.0559437545330894,,
76.00680102860035,1.969018100287336,,
86.35605796299512,1.8805634781215659,,
98.11449299256871,1.8208501651196727,,
111.47398297539121,1.8164583730923667,,
126.6525311539754,1.8807818093519373,,
143.89782458252938,2.007367358991594,,
163.49127594150298,2.1715574767550763,,
185.7526156946912,2.3415506612781343,,
211.0451095247746,2.492194471406563,,
239.78148618661447,2.6138804195395267,,
272.43067251038207,2.712156435638093,,
309.5254454578579,2.798006271835277,,
351.67112609992296,2.8760721070101596,,
399.5554573855738,2.9412918775215218,,
453.9598268901783,2.980993606128237,,
515.7720176783681,2.971740635859504,,
586.0006953530946,2.8789313786232924,,
665.7918676938581,2.6600430364962193,,
756.4475854762908,2.2711956951070817,,
859.4471896373824,1.6807317645226618,,
976.4714515024996,0.8774323259589494,,
1109.4299999999967,0,,
