Sample Name,NaCl_grinding_15min_20N,,
Measurement Date Time,2025/11/13 17:29:06,,
Particle Name,NaCl,,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,5,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,2,,
Feed Rate Demand,0,,
Weighted Residual,0.41630173364678236,,
Dx (50),119.78633395414346,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0,0.003277936829256543,0.7298613140828561
0.12847975911886883,0,0.0039132482752340094,0.6703860642575841
0.14597385201576613,0,0.004657107503481888,0.5914512560987681
0.1658499799381348,0,0.00554121540491368,0.5860275146780869
0.18843248613120703,0,0.006592693308370272,0.49320938682257764
0.21408987714579308,0.0006131888483340206,0.007840520001823451,0.4701493996918479
0.24324083621327308,0.0660894163299717,0.009319543887892858,0.3946038727926049
0.27636105541524886,0.07459339230655417,0.011080120902706178,0.35768124537252777
0.3139909981367784,0.08173543014799753,0.013179261471081677,0.28888497396809354
0.356744718472697,0.08805720571435252,0.01566630332363236,0.2439902936828386
0.4053198815041342,0.09358090755602028,0.0186254559373255,0.19201564337456656
0.4605091479584124,0.09819246830771439,0.0221543695669397,0.15762010925895653
0.5232131090298364,0.10188873638854501,0.02634398389147917,0.12281182243572343
0.5944549824347669,0.10469084312902754,0.03133650455887268,0.09716827446357444
0.675397309514597,0.10669362908167146,0.03726927281196032,0.07419194954590078
0.7673609258538154,0.10808484088018189,0.0443105909890591,0.05869985810374325
0.8718465149800815,0.10917994327033365,0.052699353249123664,0.04503986464924629
0.9905590968645671,0.11045748529220001,0.06268218911264602,0.03457971258889434
1.1254358508315696,0.11259285224084281,0.07455788912105372,0.026193189764802748
1.2786777268980591,0.11647899545103502,0.08868904661518051,0.01991295469013781
1.4527853613842987,0.12321891524031292,0.10550581874234258,0.014935913925389725
1.6505998828747652,0.13407224204903923,0.12553682755785492,0.011174244237133965
1.8753492744104643,0.15034499175084148,0.14940901734613643,0.008268169595298877
2.130701048461599,0.17323213536987092,0.17762146379472155,0.006236262348745182
2.420822094242961,0.20365192899610762,0.21164730494728437,0.004579776995635245
2.7504466739743543,0.2421201731765974,0.2525217576591168,0.0033580700491474724
3.124953677664736,0.28866269091911834,0.3012522236207536,0.0024381255939663073
3.550454397081473,0.34269152404313097,0.3598763858367056,0.0017575633117227615
4.033892251220623,0.40286853806166967,0.4307794014302606,0.0012567539382528597
4.583156090621484,0.46731376142781356,0.5171495956291441,0.0008913452698692764
5.207208929451393,0.5344289942598857,0.6240039982499064,0.0006202974289402327
5.91623420604064,0.6037048320552092,0.7564250726194758,0.00042664481413669925
6.721801958580707,0.6758677815772618,0.924615881604425,0.00028823777405241494
7.637057627679228,0.7524924684799918,1.103327507116431,0.00019773590736210322
8.676936566695368,0.8350660665383032,1.3122986003347201,0.00014490806647551757
9.858407760284809,0.9241941446539821,1.5607405038510644,0.00010509903589837141
11.200750728209842,1.0193286897403713,1.8564931514763163,7.909717316159031E-05
12.72587013299487,1.119386363159924,2.2078558930646555,5.933964753493719E-05
14.45865322526771,1.2239754965383831,2.5989430095798616,4.567977489427235E-05
16.427375959662296,1.334080669355469,3.0881404469425093,3.5289581228294695E-05
18.664164408375882,1.4520634065531244,3.663490578476414,2.817207048373406E-05
21.205519001833704,1.5814062463883563,4.329116198992359,2.1695240763405264E-05
24.092910151141346,1.7254689944439985,5.265369814103447,1.984899867141335E-05
27.3734549718295,1.8857042435321176,6.241146298105407,1.0405739532030154E-05
31.100686151825478,2.0601430061164905,7.665212436137851,3.0713117691874043E-06
35.33542551021658,2.2430366174192464,9.941660953074798,3.2030196985603967E-09
40.14677650173894,2.4261473222557335,0,0
45.613251862909266,2.6014700803722164,,
51.82405480098948,2.76451387428812,,
58.88053463252163,2.916669671000925,,
66.8978406248788,3.0652943946205795,,
76.00680102860035,3.221088911580921,,
86.35605796299512,3.3939649330429233,,
98.11449299256871,3.589463557171271,,
111.47398297539121,3.8058935234199396,,
126.6525311539754,4.031173050491319,,
143.89782458252938,4.241785825434761,,
163.49127594150298,4.4057815743406366,,
185.7526156946912,4.489166835975084,,
211.0451095247746,4.464517080938961,,
239.78148618661447,4.317175827944439,,
272.43067251038207,4.047206441789754,,
309.5254454578579,3.6691117378210265,,
351.67112609992296,3.2116447171177214,,
399.5554573855738,2.718166804187703,,
453.9598268901783,2.240561362337658,,
515.7720176783681,1.8224358900899489,,
586.0006953530946,1.4826363158343412,,
665.7918676938581,1.2069080077203012,,
756.4475854762908,0.9542991856447856,,
859.4471896373824,0.6798254553696665,,
976.4714515024996,0.3500740581439885,,
1109.4299999999967,0,,
