Sample Name,NaCl_grindspeed1,,
Measurement Date Time,2025/11/19 14:57:00,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,No,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,2,,
Feed Rate Demand,0,,
Weighted Residual,0.2803896365647003,,
Dx (50),101.46817391332979,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,0.7883754484678912
0.11308222859981587,0,0.003277936829256543,0.7740978099538367
0.12847975911886883,0,0.0039132482752340094,0.9816772297817653
0.14597385201576613,0,0.004657107503481888,1
0.1658499799381348,0,0.00554121540491368,0.9710256275686823
0.18843248613120703,0,0.006592693308370272,0.9544155047842274
0.21408987714579308,0,0.007840520001823451,0.9082015048398386
0.24324083621327308,0,0.009319543887892858,0.850795492252189
0.27636105541524886,0,0.011080120902706178,0.7712045485047965
0.3139909981367784,0,0.013179261471081677,0.6608903842545008
0.356744718472697,0,0.01566630332363236,0.5730825141118848
0.4053198815041342,0,0.0186254559373255,0.45770679183236135
0.4605091479584124,0,0.0221543695669397,0.37288818457443035
0.5232131090298364,0,0.02634398389147917,0.2905676950250424
0.5944549824347669,0,0.03133650455887268,0.23199449651032178
0.675397309514597,0,0.03726927281196032,0.17832650687986884
0.7673609258538154,0,0.0443105909890591,0.14212337364814168
0.8718465149800815,0,0.052699353249123664,0.1093381535214751
0.9905590968645671,0.000731782979547656,0.06268218911264602,0.0838305411991196
1.1254358508315696,0.059753204123926866,0.07455788912105372,0.06370757114385442
1.2786777268980591,0.08130751948651782,0.08868904661518051,0.048007892538761525
1.4527853613842987,0.1031902335534429,0.10550581874234258,0.03590297823208525
1.6505998828747652,0.126228129555935,0.12553682755785492,0.026637676345042063
1.8753492744104643,0.15059567858039047,0.14940901734613643,0.019774319959466588
2.130701048461599,0.17728356699865888,0.17762146379472155,0.014645374669189956
2.420822094242961,0.20819778297497937,0.21164730494728437,0.010750669820736913
2.7504466739743543,0.24492763954733077,0.2525217576591168,0.007823850536198114
3.124953677664736,0.28840947853064103,0.3012522236207536,0.0057289108104005195
3.550454397081473,0.3392648343792555,0.3598763858367056,0.004120963835173833
4.033892251220623,0.3975570572263627,0.4307794014302606,0.002924753861589414
4.583156090621484,0.4629679487422509,0.5171495956291441,0.0020793250060069214
5.207208929451393,0.5346537907504101,0.6240039982499064,0.0014540003271463358
5.91623420604064,0.6118192389126165,0.7564250726194758,0.0010023597969819652
6.721801958580707,0.6936556539840231,0.924615881604425,0.0006845125166722924
7.637057627679228,0.7796946512979037,1.103327507116431,0.00046960776062945133
8.676936566695368,0.8699884869788228,1.3122986003347201,0.0003476138343150745
9.858407760284809,0.9653209487820265,1.5607405038510644,0.00025484314818535633
11.200750728209842,1.0674750631666319,1.8564931514763163,0.00019070927073635383
12.72587013299487,1.179471375523157,2.2078558930646555,0.00014600809928950404
14.45865322526771,1.3054950368129532,2.5989430095798616,0.0001125062912729607
16.427375959662296,1.4501815977874735,3.0881404469425093,8.725373233671944E-05
18.664164408375882,1.6174331525177639,3.663490578476414,6.833406044266198E-05
21.205519001833704,1.8089295067276705,4.329116198992359,5.267528910663016E-05
24.092910151141346,2.0226466915043773,5.265369814103447,4.7593995900333124E-05
27.3734549718295,2.25212363285938,6.241146298105407,2.4597315474853088E-05
31.100686151825478,2.4869771944682384,7.665212436137851,7.205185790643405E-06
35.33542551021658,2.7147213958310026,9.941660953074798,9.760153625178154E-09
40.14677650173894,2.9236348941284724,0,0
45.613251862909266,3.1061270570689885,,
51.82405480098948,3.262118696305496,,
58.88053463252163,3.40143636604963,,
66.8978406248788,3.543618728691989,,
76.00680102860035,3.713962752085358,,
86.35605796299512,3.936199062596245,,
98.11449299256871,4.223161513769256,,
111.47398297539121,4.5676643026328065,,
126.6525311539754,4.9369680694946325,,
143.89782458252938,5.272386318258427,,
163.49127594150298,5.496676749452163,,
185.7526156946912,5.52952615115781,,
211.0451095247746,5.308362744402245,,
239.78148618661447,4.808686846901352,,
272.43067251038207,4.057251624462722,,
309.5254454578579,3.13270410126853,,
351.67112609992296,2.1547676904943955,,
399.5554573855738,1.2576951283573123,,
453.9598268901783,0.3648558721023676,,
515.7720176783681,0.0011930557361097271,,
586.0006953530946,0,,
665.7918676938581,0,,
756.4475854762908,0,,
859.4471896373824,0,,
976.4714515024996,0,,
1109.4299999999967,0,,
