Sample Name,NaCl_grind10min,,
Measurement Date Time,2025/12/10 12:03:54,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,No,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,2,,
Feed Rate Demand,0,,
Weighted Residual,0.3207225701653866,,
Dx (50),172.76118562477632,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0,0.003277936829256543,0.8431362064924777
0.12847975911886883,0,0.0039132482752340094,0.8348353099994644
0.14597385201576613,0,0.004657107503481888,0.7648717310713621
0.1658499799381348,0,0.00554121540491368,0.7410196255029693
0.18843248613120703,0,0.006592693308370272,0.6765125420783568
0.21408987714579308,0,0.007840520001823451,0.6243443194127021
0.24324083621327308,0,0.009319543887892858,0.5379547044828221
0.27636105541524886,0,0.011080120902706178,0.4685918857640528
0.3139909981367784,0,0.013179261471081677,0.3726008061311728
0.356744718472697,0,0.01566630332363236,0.2975336657250767
0.4053198815041342,0,0.0186254559373255,0.22070295762164943
0.4605091479584124,0,0.0221543695669397,0.16899462594505055
0.5232131090298364,0,0.02634398389147917,0.12566754512474276
0.5944549824347669,0,0.03133650455887268,0.09547601910252827
0.675397309514597,0,0.03726927281196032,0.07014013202492794
0.7673609258538154,0,0.0443105909890591,0.0538382467866013
0.8718465149800815,0,0.052699353249123664,0.03995417967295581
0.9905590968645671,0,0.06268218911264602,0.029697467429416657
1.1254358508315696,0,0.07455788912105372,0.02202080907326659
1.2786777268980591,0.0008341274295740489,0.08868904661518051,0.016275787505827907
1.4527853613842987,0.06288269818568579,0.10550581874234258,0.011918316340921026
1.6505998828747652,0.07714307818986148,0.12553682755785492,0.008732116096182383
1.8753492744104643,0.09060048583667302,0.14940901734613643,0.006367391793508762
2.130701048461599,0.10465230248259544,0.17762146379472155,0.0046856537108124745
2.420822094242961,0.12051365299235761,0.21164730494728437,0.003390838990693627
2.7504466739743543,0.13919410256579812,0.2525217576591168,0.0024490318141964017
3.124953677664736,0.16144419759941442,0.3012522236207536,0.0017726931708553237
3.550454397081473,0.1879034564391444,0.3598763858367056,0.0012694377660087846
4.033892251220623,0.21896359506852947,0.4307794014302606,0.0008993651258772157
4.583156090621484,0.2547531410968449,0.5171495956291441,0.0006381026071297115
5.207208929451393,0.2950508172937685,0.6240039982499064,0.0004477525862419822
5.91623420604064,0.33952913518155015,0.7564250726194758,0.0003096290964084749
6.721801958580707,0.3876901629160838,0.924615881604425,0.00021417636975038125
7.637057627679228,0.43908103983393243,1.103327507116431,0.00014945840530576084
8.676936566695368,0.4934510826404259,1.3122986003347201,0.00011135943819896292
9.858407760284809,0.550955727275606,1.5607405038510644,8.266147841887796E-05
11.200750728209842,0.6124240413604554,1.8564931514763163,6.249730075947202E-05
12.72587013299487,0.6796267167294223,2.2078558930646555,4.794337511736853E-05
14.45865322526771,0.7553739957904115,2.5989430095798616,3.7774006200510375E-05
16.427375959662296,0.8432311726760746,3.0881404469425093,2.9246655027820217E-05
18.664164408375882,0.9468977105506831,3.663490578476414,2.3396351568511063E-05
21.205519001833704,1.0692318000436734,4.329116198992359,1.8039908684705373E-05
24.092910151141346,1.2110725023436242,5.265369814103447,1.6637089611350092E-05
27.3734549718295,1.3702899738520369,6.241146298105407,8.6103015289332E-06
31.100686151825478,1.5414985346164194,7.665212436137851,2.5533238560024135E-06
35.33542551021658,1.716710825482206,9.941660953074798,7.674383142791928E-10
40.14677650173894,1.8870933291231484,0,0
45.613251862909266,2.045737167695627,,
51.82405480098948,2.1910957792813726,,
58.88053463252163,2.3302530316812167,,
66.8978406248788,2.480661787901294,,
76.00680102860035,2.6690183923666737,,
86.35605796299512,2.9268114136047707,,
98.11449299256871,3.2828140778283696,,
111.47398297539121,3.753393479301323,,
126.6525311539754,4.333197360793065,,
143.89782458252938,4.987652856022507,,
163.49127594150298,5.65077012805687,,
185.7526156946912,6.230873127742171,,
211.0451095247746,6.625291429987499,,
239.78148618661447,6.741381103821567,,
272.43067251038207,6.518947005022341,,
309.5254454578579,5.9482621036896575,,
351.67112609992296,5.079130952642757,,
399.5554573855738,4.017011546618804,,
453.9598268901783,2.902098679266686,,
515.7720176783681,1.8759180866695715,,
586.0006953530946,0.8471466966022376,,
665.7918676938581,0.004440387807619572,,
756.4475854762908,0,,
859.4471896373824,0,,
976.4714515024996,0,,
1109.4299999999967,0,,
