Sample Name,Citricacid_grind10min_2nd,,
Measurement Date Time,2025/12/18 14:36:30,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.3863643646838595,,
Dx (50),53.00556037892698,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0.0008459344181385976,0.003277936829256543,0.5560768910919076
0.12847975911886883,0.10963229472822945,0.0039132482752340094,0.5786004205559535
0.14597385201576613,0.1646370455201433,0.004657107503481888,0.3787927430175355
0.1658499799381348,0.21794233711131583,0.00554121540491368,0.35470204483057427
0.18843248613120703,0.2698028601360117,0.006592693308370272,0.2391197887412431
0.21408987714579308,0.319999077680459,0.007840520001823451,0.20687590071750195
0.24324083621327308,0.3682156903103395,0.009319543887892858,0.14403726779926945
0.27636105541524886,0.41419370209184825,0.011080120902706178,0.11779871362361531
0.3139909981367784,0.4576951335994548,0.013179261471081677,0.08689198453063865
0.356744718472697,0.4985223832072223,0.01566630332363236,0.07292198051135092
0.4053198815041342,0.5365255505748752,0.0186254559373255,0.05864023573126295
0.4605091479584124,0.5716173527876598,0.0221543695669397,0.04911226826000749
0.5232131090298364,0.60379154291362,0.02634398389147917,0.04032599724501193
0.5944549824347669,0.6331475612948774,0.03133650455887268,0.0340430039089493
0.675397309514597,0.6599223213601926,0.03726927281196032,0.028241566642158454
0.7673609258538154,0.684530165995481,0.0443105909890591,0.024457052681125975
0.8718465149800815,0.7076107340265931,0.052699353249123664,0.020338090855436718
0.9905590968645671,0.73008198347378,0.06268218911264602,0.01711147404142092
1.1254358508315696,0.7531909295434547,0.07455788912105372,0.014268859226884905
1.2786777268980591,0.7785471460073552,0.08868904661518051,0.011914288408690821
1.4527853613842987,0.8081138194311386,0.10550581874234258,0.009836175048365406
1.6505998828747652,0.8441203057817646,0.12553682755785492,0.008134780794622957
1.8753492744104643,0.8888545493555338,0.14940901734613643,0.006657894030165698
2.130701048461599,0.9443028304074552,0.17762146379472155,0.0055228717564046875
2.420822094242961,1.011636160061098,0.21164730494728437,0.004499745555033475
2.7504466739743543,1.0905927042624128,0.2525217576591168,0.0036576104064530604
3.124953677664736,1.178855516538448,0.3012522236207536,0.0029729975604808295
3.550454397081473,1.2715878683189743,0.3598763858367056,0.002387450210075174
4.033892251220623,1.3614753619332802,0.4307794014302606,0.0018898798748844688
4.583156090621484,1.4399559911541076,0.5171495956291441,0.001497024897278833
5.207208929451393,1.5001098342485903,0.6240039982499064,0.0011673497627076163
5.91623420604064,1.5399234003219426,0.7564250726194758,0.0008938370458653984
6.721801958580707,1.5630064989322605,0.924615881604425,0.0006781651551905094
7.637057627679228,1.576176184879106,1.103327507116431,0.0005094691741298041
8.676936566695368,1.5865222338192595,1.3122986003347201,0.000403805752473394
9.858407760284809,1.5981781079172812,1.5607405038510644,0.00031480754240519754
11.200750728209842,1.6106498926374258,1.8564931514763163,0.0002466763334457262
12.72587013299487,1.6214803697171263,2.2078558930646555,0.00019492215483858395
14.45865322526771,1.629588308339386,2.5989430095798616,0.0001512100684459184
16.427375959662296,1.6360960081343592,3.0881404469425093,0.00012028159951234322
18.664164408375882,1.6432438772911482,3.663490578476414,9.38361970383535E-05
21.205519001833704,1.6540417880446512,4.329116198992359,7.359321421130497E-05
24.092910151141346,1.6700116105917289,5.265369814103447,6.36934524076666E-05
27.3734549718295,1.6893913290807419,6.241146298105407,3.3228828394762984E-05
31.100686151825478,1.7076959290570244,7.665212436137851,9.692259406316914E-06
35.33542551021658,1.7194232331918187,9.941660953074798,5.678898137506493E-09
40.14677650173894,1.7195412682684719,0,0
45.613251862909266,1.704393390865519,,
51.82405480098948,1.6729301228684932,,
58.88053463252163,1.6279541253049956,,
66.8978406248788,1.5757807315650396,,
76.00680102860035,1.5241258187715516,,
86.35605796299512,1.4796696162256069,,
98.11449299256871,1.447383979323007,,
111.47398297539121,1.430942549318317,,
126.6525311539754,1.43288242241713,,
143.89782458252938,1.4555376206100448,,
163.49127594150298,1.5030713477626563,,
185.7526156946912,1.583293099171371,,
211.0451095247746,1.7093516479721416,,
239.78148618661447,1.8978380192327649,,
272.43067251038207,2.1610648505570396,,
309.5254454578579,2.4952563976318487,,
351.67112609992296,2.8705200591687117,,
399.5554573855738,3.230900616393896,,
453.9598268901783,3.5045626805390384,,
515.7720176783681,3.61832523052594,,
586.0006953530946,3.5160723616218093,,
665.7918676938581,3.173283467581527,,
756.4475854762908,2.601637526437486,,
859.4471896373824,1.8405133525330086,,
976.4714515024996,0.9273575624018804,,
1109.4299999999967,0,,
