Sample Name,Ajinomoto_grind20min_2nd,,
Measurement Date Time,2025/12/19 15:35:31,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.4392727708871804,,
Dx (50),47.78901135365783,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0.0007328531498726292,0.003277936829256543,0.5051964001365365
0.12847975911886883,0.09500873747391328,0.0039132482752340094,0.6059317271786749
0.14597385201576613,0.14327295031069542,0.004657107503481888,0.3829925692962714
0.1658499799381348,0.19069140221398892,0.00554121540491368,0.39258589911536124
0.18843248613120703,0.23757799343676972,0.006592693308370272,0.2745130026080169
0.21408987714579308,0.2837740202311112,0.007840520001823451,0.2565826274386813
0.24324083621327308,0.3289648079623605,0.009319543887892858,0.19403860314637347
0.27636105541524886,0.37280838856202325,0.011080120902706178,0.16813915726571
0.3139909981367784,0.41490076351584393,0.013179261471081677,0.1305219978086876
0.356744718472697,0.4547916374245866,0.01566630332363236,0.11107158742828681
0.4053198815041342,0.4919934460369859,0.0186254559373255,0.08957580354619281
0.4605091479584124,0.5260029823122991,0.0221543695669397,0.0754860920656229
0.5232131090298364,0.5563347273912003,0.02634398389147917,0.06213382891692909
0.5944549824347669,0.5825716882482457,0.03133650455887268,0.05220512851909802
0.675397309514597,0.6044384691146893,0.03726927281196032,0.04323581526809176
0.7673609258538154,0.6219014025506775,0.0443105909890591,0.03708254245561398
0.8718465149800815,0.6352981485503433,0.052699353249123664,0.030665695822762712
0.9905590968645671,0.6454933432145555,0.06268218911264602,0.02544211314316507
1.1254358508315696,0.654045325882163,0.07455788912105372,0.02104118400354902
1.2786777268980591,0.6633498984492832,0.08868904661518051,0.017329791066346287
1.4527853613842987,0.6767009273319964,0.10550581874234258,0.014138637395769036
1.6505998828747652,0.6981811574887278,0.12553682755785492,0.011545995437843107
1.8753492744104643,0.7322879658734074,0.14940901734613643,0.009363449909297735
2.130701048461599,0.7832376103927796,0.17762146379472155,0.007668483625004774
2.420822094242961,0.8540024385468765,0.21164730494728437,0.006169365328829933
2.7504466739743543,0.9452935509276923,0.2525217576591168,0.004946272760581957
3.124953677664736,1.0547937904146618,0.3012522236207536,0.003956446847392029
3.550454397081473,1.176859845377507,0.3598763858367056,0.0031253073056707794
4.033892251220623,1.3028085097731008,0.4307794014302606,0.0024264656710405175
4.583156090621484,1.4221755529521225,0.5171495956291441,0.0018797819524953693
5.207208929451393,1.5255121240423009,0.6240039982499064,0.0014320201200411953
5.91623420604064,1.6077938531161884,0.7564250726194758,0.0010694865206899505
6.721801958580707,1.6696013454567193,0.924615881604425,0.0007934406851031054
7.637057627679228,1.7152400795216174,1.103327507116431,0.000586602128787455
8.676936566695368,1.7503151203512068,1.3122986003347201,0.0004602385742347173
9.858407760284809,1.778910823237858,1.5607405038510644,0.0003567519694381663
11.200750728209842,1.801921072726671,1.8564931514763163,0.00027994559263147875
12.72587013299487,1.8190514843083179,2.2078558930646555,0.0002219120549863404
14.45865322526771,1.8315348305511456,2.5989430095798616,0.0001730970084740342
16.427375959662296,1.8426971202013789,3.0881404469425093,0.0001389468161698081
18.664164408375882,1.8568565835735882,3.663490578476414,0.00010865280460826293
21.205519001833704,1.878838102950418,4.329116198992359,8.551532489558857E-05
24.092910151141346,1.911600414848948,5.265369814103447,7.427304386344953E-05
27.3734549718295,1.9542029248123285,6.241146298105407,3.855243212612221E-05
31.100686151825478,2.001908921928056,7.665212436137851,1.1188431297136916E-05
35.33542551021658,2.047333414503001,9.941660953074798,6.839069456296198E-09
40.14677650173894,2.0816529699681183,0,0
45.613251862909266,2.095967422015697,,
51.82405480098948,2.083777343721131,,
58.88053463252163,2.0439768618227845,,
66.8978406248788,1.982244891228035,,
76.00680102860035,1.9099902554143142,,
86.35605796299512,1.8416199820902648,,
98.11449299256871,1.7921597659192088,,
111.47398297539121,1.7750370220611416,,
126.6525311539754,1.7990233514358351,,
143.89782458252938,1.8656175041769671,,
163.49127594150298,1.9681860501536192,,
185.7526156946912,2.0932461630275156,,
211.0451095247746,2.225186898565383,,
239.78148618661447,2.351253840054923,,
272.43067251038207,2.4627627226268487,,
309.5254454578579,2.5518731723229564,,
351.67112609992296,2.6080472495259386,,
399.5554573855738,2.6191828917500004,,
453.9598268901783,2.5744041104750437,,
515.7720176783681,2.4633075861366933,,
586.0006953530946,2.2752870119005166,,
665.7918676938581,1.9996836481197562,,
756.4475854762908,1.6278369757537092,,
859.4471896373824,1.157443885999271,,
976.4714515024996,0.5883020249854098,,
1109.4299999999967,0,,
