Sample Name,MSG_grind15min,,
Measurement Date Time,2025/12/19 11:55:19,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.415871387380218,,
Dx (50),65.2140850299622,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0.0006652206083889936,0.003277936829256543,0.5628032794541696
0.12847975911886883,0.0862193710669537,0.0039132482752340094,0.5928256642681873
0.14597385201576613,0.12961798232400024,0.004657107503481888,0.3986153484364808
0.1658499799381348,0.17180592681326018,0.00554121540491368,0.38796614610717045
0.18843248613120703,0.21297187317474936,0.006592693308370272,0.28373398248243514
0.21408987714579308,0.2529021765185546,0.007840520001823451,0.2521228003686151
0.24324083621327308,0.2912750238075752,0.009319543887892858,0.19260515703786873
0.27636105541524886,0.32777902881365417,0.011080120902706178,0.16261262242096056
0.3139909981367784,0.3620849654203284,0.013179261471081677,0.12486308025309802
0.356744718472697,0.3938624038238785,0.01566630332363236,0.10336501345831665
0.4053198815041342,0.42278952606690323,0.0186254559373255,0.08220580660838045
0.4605091479584124,0.4485728885052085,0.0221543695669397,0.06841698807447198
0.5232131090298364,0.4709755435345664,0.02634398389147917,0.05619953829185263
0.5944549824347669,0.4898576759384845,0.03133650455887268,0.04678995021768791
0.675397309514597,0.5052326585472535,0.03726927281196032,0.038601910522480055
0.7673609258538154,0.5173412870251131,0.0443105909890591,0.03280382365358927
0.8718465149800815,0.5267447520918225,0.052699353249123664,0.02696536290061803
0.9905590968645671,0.5344321204493916,0.06268218911264602,0.022260700537967724
1.1254358508315696,0.5419290855474408,0.07455788912105372,0.018298187189918425
1.2786777268980591,0.5513804988896149,0.08868904661518051,0.014980641883073248
1.4527853613842987,0.5655606823055921,0.10550581874234258,0.012139346769107858
1.6505998828747652,0.5877488179899677,0.12553682755785492,0.009850850609325765
1.8753492744104643,0.6214062887971448,0.14940901734613643,0.007935546162253134
2.130701048461599,0.6696301797057931,0.17762146379472155,0.006449578340876954
2.420822094242961,0.7344451959170701,0.21164730494728437,0.005150639651666571
2.7504466739743543,0.816104146831302,0.2525217576591168,0.004096962446022461
3.124953677664736,0.9126005660039205,0.3012522236207536,0.003254216480887531
3.550454397081473,1.0194938334939962,0.3598763858367056,0.002550661649754929
4.033892251220623,1.1300994736508052,0.4307794014302606,0.001966811751150916
4.583156090621484,1.2364153130117277,0.5171495956291441,0.0015148673468835879
5.207208929451393,1.3312720770878972,0.6240039982499064,0.0011467296098779806
5.91623420604064,1.410862376209078,0.7564250726194758,0.0008517826644988004
6.721801958580707,1.4755025520465814,0.924615881604425,0.0006279991094929203
7.637057627679228,1.5282460629511938,1.103327507116431,0.0004638773328552055
8.676936566695368,1.5731292804480184,1.3122986003347201,0.00036200795894473966
9.858407760284809,1.6130300936076658,1.5607405038510644,0.0002794794257494898
11.200750728209842,1.648296680854564,1.8564931514763163,0.00021842963230566745
12.72587013299487,1.6782945141254082,2.2078558930646555,0.00017294044820206873
14.45865322526771,1.7035994671399877,2.5989430095798616,0.0001350025057828373
16.427375959662296,1.7266377172373844,3.0881404469425093,0.00010820347944485671
18.664164408375882,1.7509664375625427,3.663490578476414,8.501903173654958E-05
21.205519001833704,1.7808615670578192,4.329116198992359,6.702123860916629E-05
24.092910151141346,1.819246166234933,5.265369814103447,5.839222926148511E-05
27.3734549718295,1.8658205090328082,6.241146298105407,3.0485115190752536E-05
31.100686151825478,1.9169488586264052,7.665212436137851,8.875394686030402E-06
35.33542551021658,1.966527340156631,9.941660953074798,5.351993184969909E-09
40.14677650173894,2.0068911925525157,0,0
45.613251862909266,2.0297959142441684,,
51.82405480098948,2.028505675182579,,
58.88053463252163,2.0006156523778955,,
66.8978406248788,1.9497216866665923,,
76.00680102860035,1.8850388787384844,,
86.35605796299512,1.8196106841673085,,
98.11449299256871,1.7687651101772701,,
111.47398297539121,1.7484601185819741,,
126.6525311539754,1.7724666192892045,,
143.89782458252938,1.8491800685248734,,
163.49127594150298,1.9790525411572233,,
185.7526156946912,2.1533648794761433,,
211.0451095247746,2.3564309590621235,,
239.78148618661447,2.5694412909144972,,
272.43067251038207,2.7730096018012205,,
309.5254454578579,2.9475485258947884,,
351.67112609992296,3.0736335941777213,,
399.5554573855738,3.1351690923496562,,
453.9598268901783,3.1214381027176046,,
515.7720176783681,3.0231061898797975,,
586.0006953530946,2.8273274213485564,,
665.7918676938581,2.5162161860693573,,
756.4475854762908,2.0721281181667877,,
859.4471896373824,1.4868792206990236,,
976.4714515024996,0.7600136077134891,,
1109.4299999999967,0,,
