Sample Name,NaCl_grind10min,,
Measurement Date Time,2025/12/16 16:22:50,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,No,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,2,,
Feed Rate Demand,0,,
Weighted Residual,0.3562755177172728,,
Dx (50),203.98940267906448,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0,0.003277936829256543,0.7872006479413336
0.12847975911886883,0,0.0039132482752340094,0.7446243117374197
0.14597385201576613,0,0.004657107503481888,0.6738684290994701
0.1658499799381348,0,0.00554121540491368,0.6193732120448552
0.18843248613120703,0,0.006592693308370272,0.5501250211094814
0.21408987714579308,0,0.007840520001823451,0.5007043712770733
0.24324083621327308,0,0.009319543887892858,0.4231734449853939
0.27636105541524886,0,0.011080120902706178,0.3556315587632716
0.3139909981367784,0,0.013179261471081677,0.27497101662337076
0.356744718472697,0,0.01566630332363236,0.21141602337116047
0.4053198815041342,0,0.0186254559373255,0.15194868927925917
0.4605091479584124,0,0.0221543695669397,0.11315655833581476
0.5232131090298364,0,0.02634398389147917,0.08232400040598892
0.5944549824347669,0,0.03133650455887268,0.06172009874821997
0.675397309514597,0,0.03726927281196032,0.045043537582016464
0.7673609258538154,0,0.0443105909890591,0.034611067847918765
0.8718465149800815,0,0.052699353249123664,0.025870016834526856
0.9905590968645671,0,0.06268218911264602,0.01941053479203834
1.1254358508315696,0,0.07455788912105372,0.014648585861152584
1.2786777268980591,0,0.08868904661518051,0.010929955660425544
1.4527853613842987,0.0009924993999961538,0.10550581874234258,0.008141810332182463
1.6505998828747652,0.07336598331024115,0.12553682755785492,0.006024006357438983
1.8753492744104643,0.09033162590303466,0.14940901734613643,0.004469114963769025
2.130701048461599,0.10511075854089844,0.17762146379472155,0.003318611341567396
2.420822094242961,0.12101465527147581,0.21164730494728437,0.0024359931732162153
2.7504466739743543,0.1396347457384972,0.2525217576591168,0.0017666314168840623
3.124953677664736,0.16140130600549363,0.3012522236207536,0.0012926843931003826
3.550454397081473,0.18704615524816903,0.3598763858367056,0.0009280754213512345
4.033892251220623,0.21742188195143652,0.4307794014302606,0.0006593911533763068
4.583156090621484,0.2527158392594022,0.5171495956291441,0.000466909488707768
5.207208929451393,0.29268003408611776,0.6240039982499064,0.00032779202248452643
5.91623420604064,0.33689738982916184,0.7564250726194758,0.00022498141320109695
6.721801958580707,0.38455783908452057,0.924615881604425,0.00015432221793143752
7.637057627679228,0.4347780604726763,1.103327507116431,0.00010661339724354973
8.676936566695368,0.4867834601496601,1.3122986003347201,7.852443302581367E-05
9.858407760284809,0.5401816467837981,1.5607405038510644,5.7384029638637835E-05
11.200750728209842,0.595282245177033,1.8564931514763163,4.288808421942144E-05
12.72587013299487,0.6534074786187913,2.2078558930646555,3.229176315213289E-05
14.45865322526771,0.7170327310285565,2.5989430095798616,2.4987078549281062E-05
16.427375959662296,0.7895029482682885,3.0881404469425093,1.936017153779229E-05
18.664164408375882,0.8743586870428626,3.663490578476414,1.5252238493836861E-05
21.205519001833704,0.9742482943137283,4.329116198992359,1.167462988661624E-05
24.092910151141346,1.0896298356587142,5.265369814103447,1.0861430110246948E-05
27.3734549718295,1.2177241337170521,6.241146298105407,5.582737103757051E-06
31.100686151825478,1.3521895698679245,7.665212436137851,1.6438419680705657E-06
35.33542551021658,1.4838148711112016,9.941660953074798,0
40.14677650173894,1.602464639359173,0,0
45.613251862909266,1.7002587193988798,,
51.82405480098948,1.775647860739717,,
58.88053463252163,1.8374874462161728,,
66.8978406248788,1.9075072353979365,,
76.00680102860035,2.019598696920937,,
86.35605796299512,2.2153982245108814,,
98.11449299256871,2.536191352041044,,
111.47398297539121,3.0118847693214192,,
126.6525311539754,3.6498705100913114,,
143.89782458252938,4.424842170031027,,
163.49127594150298,5.273483436198994,,
185.7526156946912,6.097447015700496,,
211.0451095247746,6.776394738131003,,
239.78148618661447,7.189909015335665,,
272.43067251038207,7.243869056812741,,
309.5254454578579,6.894499113025645,,
351.67112609992296,6.164484439902083,,
399.5554573855738,5.144772275496663,,
453.9598268901783,3.977234730995079,,
515.7720176783681,2.81859739471885,,
586.0006953530946,1.659682212952461,,
665.7918676938581,0.5045202007382983,,
756.4475854762908,0.001850070124774561,,
859.4471896373824,0,,
976.4714515024996,1.094053899919345E-05,,
1109.4299999999967,0,,
