Sample Name,NaCl_grind7min_2nd,,
Measurement Date Time,2025/12/16 17:15:50,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,No,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,2,,
Feed Rate Demand,0,,
Weighted Residual,0.46990808821612096,,
Dx (50),230.58208060076566,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0,0.003277936829256543,0.8695806039750474
0.12847975911886883,0,0.0039132482752340094,0.8526751511909243
0.14597385201576613,0,0.004657107503481888,0.7755768142266355
0.1658499799381348,0,0.00554121540491368,0.7267480971280978
0.18843248613120703,0,0.006592693308370272,0.6396931850898951
0.21408987714579308,0,0.007840520001823451,0.5743218417955332
0.24324083621327308,0,0.009319543887892858,0.48049664319924207
0.27636105541524886,0,0.011080120902706178,0.3965095533535719
0.3139909981367784,0,0.013179261471081677,0.2947788089134092
0.356744718472697,0,0.01566630332363236,0.22363092282893204
0.4053198815041342,0,0.0186254559373255,0.15677406415784825
0.4605091479584124,0,0.0221543695669397,0.11644468634026894
0.5232131090298364,0,0.02634398389147917,0.08424719745836677
0.5944549824347669,0,0.03133650455887268,0.06272099627588586
0.675397309514597,0,0.03726927281196032,0.04580796653676235
0.7673609258538154,0,0.0443105909890591,0.034972771039485456
0.8718465149800815,0,0.052699353249123664,0.025973805983934565
0.9905590968645671,0,0.06268218911264602,0.019325548512561356
1.1254358508315696,0,0.07455788912105372,0.014455096579495482
1.2786777268980591,0,0.08868904661518051,0.010687969815645097
1.4527853613842987,0,0.10550581874234258,0.007885439384611328
1.6505998828747652,0.0009720273355076233,0.12553682755785492,0.005792199380673676
1.8753492744104643,0.06999168526696838,0.14940901734613643,0.00426947601966166
2.130701048461599,0.08470085019839413,0.17762146379472155,0.0031349460471327786
2.420822094242961,0.09820848557510811,0.21164730494728437,0.0022877384122784996
2.7504466739743543,0.11348957260929421,0.2525217576591168,0.0016517231560669264
3.124953677664736,0.1304236488599929,0.3012522236207536,0.001201943683060225
3.550454397081473,0.15004274316552163,0.3598763858367056,0.0008564156561621815
4.033892251220623,0.1737704157936334,0.4307794014302606,0.0006063754228445843
4.583156090621484,0.20200225900585322,0.5171495956291441,0.000427112617205882
5.207208929451393,0.2348082605144186,0.6240039982499064,0.00029828714138546757
5.91623420604064,0.2719756849747774,0.7564250726194758,0.00020388340709634874
6.721801958580707,0.312695778998912,0.924615881604425,0.00013960706742358086
7.637057627679228,0.3560040465002656,1.103327507116431,9.662204101985922E-05
8.676936566695368,0.4008918199920126,1.3122986003347201,7.171076701139713E-05
9.858407760284809,0.4466476695710524,1.5607405038510644,5.290852190023816E-05
11.200750728209842,0.49322976847943023,1.8564931514763163,3.982214395555173E-05
12.72587013299487,0.5416759148164014,2.2078558930646555,3.0557604928730344E-05
14.45865322526771,0.5943221243284738,2.5989430095798616,2.3590372318686477E-05
16.427375959662296,0.6546626392378085,3.0881404469425093,1.8327641903743923E-05
18.664164408375882,0.7268265340357063,3.663490578476414,1.4559207336280083E-05
21.205519001833704,0.8145743811985726,4.329116198992359,1.1253161391509053E-05
24.092910151141346,0.9199514656245027,5.265369814103447,1.0337530222309505E-05
27.3734549718295,1.0419818985694,6.241146298105407,5.327254505228649E-06
31.100686151825478,1.1758567682387238,7.665212436137851,1.5859702676879961E-06
35.33542551021658,1.3130053914438164,9.941660953074798,4.358230327014123E-10
40.14677650173894,1.4423647566547295,0,0
45.613251862909266,1.5530039826647766,,
51.82405480098948,1.6380146772978392,,
58.88053463252163,1.6991241885762918,,
66.8978406248788,1.7507006668135752,,
76.00680102860035,1.821418723633684,,
86.35605796299512,1.952426313349438,,
98.11449299256871,2.191194663100898,,
111.47398297539121,2.581119614632012,,
126.6525311539754,3.1492782286838086,,
143.89782458252938,3.8931010439926226,,
163.49127594150298,4.7699601512362335,,
185.7526156946912,5.694176554220228,,
211.0451095247746,6.54474676927601,,
239.78148618661447,7.184493985923545,,
272.43067251038207,7.487814272661154,,
309.5254454578579,7.3707507606784475,,
351.67112609992296,6.816672317330472,,
399.5554573855738,5.888791706533738,,
453.9598268901783,4.72082089678193,,
515.7720176783681,3.4846494657505076,,
586.0006953530946,2.3461752882269877,,
665.7918676938581,1.4246786902221231,,
756.4475854762908,0.770254897024941,,
859.4471896373824,0.36346283659163703,,
976.4714515024996,0.13340794918326537,,
1109.4299999999967,0,,
