Sample Name,NaCl_grind10min_3rd,,
Measurement Date Time,2025/12/17 13:48:27,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,No,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,2,,
Feed Rate Demand,0,,
Weighted Residual,0.5155570790316257,,
Dx (50),211.88622781228668,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0,0.003277936829256543,0.896651679922129
0.12847975911886883,0,0.0039132482752340094,0.8905023060327942
0.14597385201576613,0,0.004657107503481888,0.8082173996506924
0.1658499799381348,0,0.00554121540491368,0.7993586227885523
0.18843248613120703,0,0.006592693308370272,0.6901350748133639
0.21408987714579308,0,0.007840520001823451,0.6439967723595349
0.24324083621327308,0,0.009319543887892858,0.5414342555036179
0.27636105541524886,0,0.011080120902706178,0.45578813425045156
0.3139909981367784,0,0.013179261471081677,0.3460536813866864
0.356744718472697,0,0.01566630332363236,0.27083694322364366
0.4053198815041342,0,0.0186254559373255,0.19102283468811967
0.4605091479584124,0,0.0221543695669397,0.14021226712931567
0.5232131090298364,0,0.02634398389147917,0.10001956054140536
0.5944549824347669,0,0.03133650455887268,0.07370181782050915
0.675397309514597,0,0.03726927281196032,0.053275575230166496
0.7673609258538154,0,0.0443105909890591,0.040553898569456764
0.8718465149800815,0,0.052699353249123664,0.029782768165892197
0.9905590968645671,0,0.06268218911264602,0.022016842034346857
1.1254358508315696,0,0.07455788912105372,0.01638819096905271
1.2786777268980591,0,0.08868904661518051,0.01205072499914342
1.4527853613842987,0,0.10550581874234258,0.008944220616274
1.6505998828747652,0.0008799464881786398,0.12553682755785492,0.006493825886977003
1.8753492744104643,0.06407991836392501,0.14940901734613643,0.0048346678690512415
2.130701048461599,0.0803216560447635,0.17762146379472155,0.003488803262742055
2.420822094242961,0.09629533913706212,0.21164730494728437,0.0025950315076384337
2.7504466739743543,0.11454623813836104,0.2525217576591168,0.0018634966582470813
3.124953677664736,0.13456552804183564,0.3012522236207536,0.0013684261961981552
3.550454397081473,0.15712613399431524,0.3598763858367056,0.0009689112026841058
4.033892251220623,0.18348000027278788,0.4307794014302606,0.0006812639563111827
4.583156090621484,0.21387762022701517,0.5171495956291441,0.0004836363359257963
5.207208929451393,0.24833118278547284,0.6240039982499064,0.0003355476292761876
5.91623420604064,0.2865281196076239,0.7564250726194758,0.00022938388367591475
6.721801958580707,0.3275570537287733,0.924615881604425,0.0001545199812524621
7.637057627679228,0.370335356071541,1.103327507116431,0.00010745345892492274
8.676936566695368,0.41379617234675115,1.3122986003347201,7.773048234754681E-05
9.858407760284809,0.4573334175482504,1.5607405038510644,5.654225498324475E-05
11.200750728209842,0.5012634175155428,1.8564931514763163,4.268079964173314E-05
12.72587013299487,0.5472741189229477,2.2078558930646555,3.243370897344962E-05
14.45865322526771,0.5986095543290002,2.5989430095798616,2.5900254586345792E-05
16.427375959662296,0.659742231175672,3.0881404469425093,2.008134893844211E-05
18.664164408375882,0.7355038943501686,3.663490578476414,1.6329551531492137E-05
21.205519001833704,0.8296176208869994,4.329116198992359,1.2537343724181769E-05
24.092910151141346,0.9429841339388405,5.265369814103447,1.1097583351480491E-05
27.3734549718295,1.0723635640522744,6.241146298105407,5.738143230163796E-06
31.100686151825478,1.2101487434745444,7.665212436137851,1.7228329089989474E-06
35.33542551021658,1.345578541071518,9.941660953074798,1.0683018320578268E-08
40.14677650173894,1.4673614458872297,0,0
45.613251862909266,1.5673010863499162,,
51.82405480098948,1.6445230059038884,,
58.88053463252163,1.7095358083874999,,
66.8978406248788,1.7867140088534121,,
76.00680102860035,1.9136965756440212,,
86.35605796299512,2.136867305316855,,
98.11449299256871,2.502076206484187,,
111.47398297539121,3.04151379543843,,
126.6525311539754,3.7608382178468105,,
143.89782458252938,4.627510383427406,,
163.49127594150298,5.5654604206157785,,
185.7526156946912,6.460779378153937,,
211.0451095247746,7.17900683376665,,
239.78148618661447,7.591777208190891,,
272.43067251038207,7.60645985320086,,
309.5254454578579,7.18982337259321,,
351.67112609992296,6.380154487117736,,
399.5554573855738,5.28358429987955,,
453.9598268901783,4.052651284711246,,
515.7720176783681,2.84888617138229,,
586.0006953530946,1.6445428791990224,,
665.7918676938581,0.44543818109573863,,
756.4475854762908,0.0013582880392561947,,
859.4471896373824,0,,
976.4714515024996,7.983009922440942E-06,,
1109.4299999999967,0,,
