Sample Name,NaCl_grind_for200um_3rd,,
Measurement Date Time,2025/12/17 18:29:14,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,No,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,2,,
Feed Rate Demand,0,,
Weighted Residual,0.41521672476372784,,
Dx (50),189.5014959569752,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0,0.003277936829256543,0.9491099107842417
0.12847975911886883,0,0.0039132482752340094,0.9167110453723644
0.14597385201576613,0,0.004657107503481888,0.8650326676657014
0.1658499799381348,0,0.00554121540491368,0.8857609533632576
0.18843248613120703,0,0.006592693308370272,0.7812550503783655
0.21408987714579308,0,0.007840520001823451,0.7180734487731723
0.24324083621327308,0,0.009319543887892858,0.6262506451575187
0.27636105541524886,0,0.011080120902706178,0.5363238995379465
0.3139909981367784,0,0.013179261471081677,0.41717269935993817
0.356744718472697,0,0.01566630332363236,0.33034118908808324
0.4053198815041342,0,0.0186254559373255,0.23924356910579067
0.4605091479584124,0,0.0221543695669397,0.17977543649889458
0.5232131090298364,0,0.02634398389147917,0.13037070305482865
0.5944549824347669,0,0.03133650455887268,0.09761898445202774
0.675397309514597,0,0.03726927281196032,0.07148769684266312
0.7673609258538154,0,0.0443105909890591,0.05435581067807483
0.8718465149800815,0,0.052699353249123664,0.04059598849807846
0.9905590968645671,0,0.06268218911264602,0.030102499610392876
1.1254358508315696,0,0.07455788912105372,0.022545161928875165
1.2786777268980591,0,0.08868904661518051,0.0167191990074681
1.4527853613842987,0,0.10550581874234258,0.012375051315195248
1.6505998828747652,0.001041405325553654,0.12553682755785492,0.009081597534236359
1.8753492744104643,0.0748939746929144,0.14940901734613643,0.00661056250226717
2.130701048461599,0.09036793371591402,0.17762146379472155,0.004922291586563191
2.420822094242961,0.1060734244351032,0.21164730494728437,0.0035671446719377393
2.7504466739743543,0.12492052993693575,0.2525217576591168,0.0025698630869035264
3.124953677664736,0.1468231045684018,0.3012522236207536,0.0018563677487442175
3.550454397081473,0.1723811110952138,0.3598763858367056,0.0013187086011851765
4.033892251220623,0.20265351075187177,0.4307794014302606,0.0009257315124389145
4.583156090621484,0.23787521121297095,0.5171495956291441,0.0006550746655350812
5.207208929451393,0.27787672326829993,0.6240039982499064,0.0004497127120918049
5.91623420604064,0.322293689896785,0.7564250726194758,0.0003071170359855864
6.721801958580707,0.37035947616612663,0.924615881604425,0.00020754512498578976
7.637057627679228,0.4212964725725561,1.103327507116431,0.00014239047629210704
8.676936566695368,0.47448000198125273,1.3122986003347201,0.00010576356702050386
9.858407760284809,0.5297589573953467,1.5607405038510644,7.658574850227477E-05
11.200750728209842,0.5877320301025666,1.8564931514763163,5.78662518312299E-05
12.72587013299487,0.650020583536465,2.2078558930646555,4.380147424944693E-05
14.45865322526771,0.7193761322850021,2.5989430095798616,3.3638514212583204E-05
16.427375959662296,0.799354738983701,3.0881404469425093,2.609978879175651E-05
18.664164408375882,0.893604261100343,3.663490578476414,2.0714034152869198E-05
21.205519001833704,1.0047372986329197,4.329116198992359,1.615777531805397E-05
24.092910151141346,1.1329477795290597,5.265369814103447,1.493742351745122E-05
27.3734549718295,1.274863148008187,6.241146298105407,7.749911278442913E-06
31.100686151825478,1.4232673869880532,7.665212436137851,2.3046065612651195E-06
35.33542551021658,1.5681805861313478,9.941660953074798,1.450188283696984E-09
40.14677650173894,1.6994260343477237,0,0
45.613251862909266,1.8103607929415606,,
51.82405480098948,1.902173032910916,,
58.88053463252163,1.987522478263859,,
66.8978406248788,2.091881034757968,,
76.00680102860035,2.251301170363508,,
86.35605796299512,2.5066051061418477,,
98.11449299256871,2.8944974415617892,,
111.47398297539121,3.4361816965028282,,
126.6525311539754,4.12614840993249,,
143.89782458252938,4.923120784745969,,
163.49127594150298,5.74776445461616,,
185.7526156946912,6.490013925786165,,
211.0451095247746,7.027026472592944,,
239.78148618661447,7.248548599475235,,
272.43067251038207,7.083505914655063,,
309.5254454578579,6.520298125662407,,
351.67112609992296,5.61565845237304,,
399.5554573855738,4.487849868028235,,
453.9598268901783,3.2910526687064987,,
515.7720176783681,2.1808427452772605,,
586.0006953530946,1.0651850184993918,,
665.7918676938581,0.0058562995442486,,
756.4475854762908,0,,
859.4471896373824,0,,
976.4714515024996,0,,
1109.4299999999967,0,,
