Sample Name,Citricacid_grind_for100um_2nd,,
Measurement Date Time,2025/12/18 18:10:15,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.5035040811814013,,
Dx (50),100.21029022100892,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0.0005000297104989998,0.003277936829256543,0.6066168793547361
0.12847975911886883,0.07297749023048802,0.0039132482752340094,0.6368416219635342
0.14597385201576613,0.11036307351141705,0.004657107503481888,0.43439538832920727
0.1658499799381348,0.14731042972064765,0.00554121540491368,0.40171155151502463
0.18843248613120703,0.1843781918058987,0.006592693308370272,0.27577060982133084
0.21408987714579308,0.22141656858959147,0.007840520001823451,0.23262701386025805
0.24324083621327308,0.2583096813899094,0.009319543887892858,0.16176460934904632
0.27636105541524886,0.2948680574959843,0.011080120902706178,0.13039813463987449
0.3139909981367784,0.33085746160313545,0.013179261471081677,0.09607199962365641
0.356744718472697,0.36599249354138674,0.01566630332363236,0.08015793541521153
0.4053198815041342,0.39994463850725626,0.0186254559373255,0.06356860659338447
0.4605091479584124,0.43235324963991584,0.0221543695669397,0.05274067244282032
0.5232131090298364,0.46284571623855086,0.02634398389147917,0.04284241678810187
0.5944549824347669,0.4910689471955574,0.03133650455887268,0.03567424821512081
0.675397309514597,0.5167361057430546,0.03726927281196032,0.029211322813617345
0.7673609258538154,0.539692132290293,0.0443105909890591,0.0249225097286388
0.8718465149800815,0.5600004684683233,0.052699353249123664,0.02048116915446309
0.9905590968645671,0.5780498826860017,0.06268218911264602,0.016972298903790206
1.1254358508315696,0.5946730971424516,0.07455788912105372,0.013977003375489992
1.2786777268980591,0.6112565222896666,0.08868904661518051,0.01149823801703589
1.4527853613842987,0.6298025583193603,0.10550581874234258,0.009367986237159022
1.6505998828747652,0.6528859809026306,0.12553682755785492,0.007631426204367333
1.8753492744104643,0.6834342987741078,0.14940901734613643,0.00617820935798293
2.130701048461599,0.724277390011995,0.17762146379472155,0.005056531177638823
2.420822094242961,0.7774735455490891,0.21164730494728437,0.004076381277171601
2.7504466739743543,0.8435230982956661,0.2525217576591168,0.0032758237987172817
3.124953677664736,0.9206751195928398,0.3012522236207536,0.0026377954795012825
3.550454397081473,1.0045567789456271,0.3598763858367056,0.0020981873830854003
4.033892251220623,1.0883764922565646,0.4307794014302606,0.0016469294299279267
4.583156090621484,1.1641239047482888,0.5171495956291441,0.0012928199993854784
5.207208929451393,1.225110965385861,0.6240039982499064,0.0009996157485559713
5.91623420604064,1.2688707864185993,0.7564250726194758,0.0007585374669529691
6.721801958580707,1.2979476262767982,0.924615881604425,0.0005709711245121177
7.637057627679228,1.3179553843135032,1.103327507116431,0.00042606681854217144
8.676936566695368,1.3351500603363604,1.3122986003347201,0.0003364362747026324
9.858407760284809,1.3536940740421812,1.5607405038510644,0.00026158029542107944
11.200750728209842,1.3741205265963288,1.8564931514763163,0.0002047556706699556
12.72587013299487,1.3952590296999539,2.2078558930646555,0.0001615928771169645
14.45865322526771,1.4167619864110144,2.5989430095798616,0.00012495346743877152
16.427375959662296,1.4396960957139058,3.0881404469425093,9.922520467821615E-05
18.664164408375882,1.4656654545561913,3.663490578476414,7.685082272797009E-05
21.205519001833704,1.4965659296043192,4.329116198992359,5.991148786214894E-05
24.092910151141346,1.5328259922648826,5.265369814103447,5.163993607278281E-05
27.3734549718295,1.5720538159093351,6.241146298105407,2.66846637925396E-05
31.100686151825478,1.6096265974889974,7.665212436137851,7.74093615047839E-06
35.33542551021658,1.6402062261330812,9.941660953074798,4.584358731804267E-09
40.14677650173894,1.6591058649909058,0,0
45.613251862909266,1.663207178304475,,
51.82405480098948,1.6520482731922073,,
58.88053463252163,1.6287628135550278,,
66.8978406248788,1.5994415679969336,,
76.00680102860035,1.5707462997493593,,
86.35605796299512,1.547320552285747,,
98.11449299256871,1.5310639763346074,,
111.47398297539121,1.522087413149002,,
126.6525311539754,1.5204050202360833,,
143.89782458252938,1.5285493397185448,,
163.49127594150298,1.5548904153938352,,
185.7526156946912,1.6161667492384453,,
211.0451095247746,1.7382965641557533,,
239.78148618661447,1.9521496277378034,,
272.43067251038207,2.2823470327645623,,
309.5254454578579,2.731467446526594,,
351.67112609992296,3.266867762485063,,
399.5554573855738,3.8188387299974664,,
453.9598268901783,4.290740424056864,,
515.7720176783681,4.5762348593583795,,
586.0006953530946,4.5825610824505105,,
665.7918676938581,4.251554292365654,,
756.4475854762908,3.572323488751408,,
859.4471896373824,2.5784764209735727,,
976.4714515024996,1.3168366627518537,,
1109.4299999999967,0,,
