Sample Name,Ajinomoto_grind_for200um_3rd,,
Measurement Date Time,2025/12/19 19:16:41,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.42435288887037437,,
Dx (50),189.03287160734268,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0,0.003277936829256543,0.6925011609740442
0.12847975911886883,0,0.0039132482752340094,0.6902879600169459
0.14597385201576613,0.000622926697326709,0.004657107503481888,0.5336149996183188
0.1658499799381348,0.07779537173171702,0.00554121540491368,0.49575416881911455
0.18843248613120703,0.09812401233919994,0.006592693308370272,0.38018847786543425
0.21408987714579308,0.1177089007435525,0.007840520001823451,0.32647623148860033
0.24324083621327308,0.13713445703649574,0.009319543887892858,0.24606261208883562
0.27636105541524886,0.1563215803901979,0.011080120902706178,0.19935991935924627
0.3139909981367784,0.1750897538381726,0.013179261471081677,0.14709906532924155
0.356744718472697,0.19327639125365326,0.01566630332363236,0.11689248487138353
0.4053198815041342,0.2106828653145818,0.0186254559373255,0.0886161430715646
0.4605091479584124,0.22709823593229306,0.0221543695669397,0.07131175133449921
0.5232131090298364,0.2423076759330116,0.02634398389147917,0.05611268956803403
0.5944549824347669,0.25611389565554066,0.03133650455887268,0.04543024167519892
0.675397309514597,0.26836668535501906,0.03726927281196032,0.035908113054650824
0.7673609258538154,0.2790050728281366,0.0443105909890591,0.029616454723259338
0.8718465149800815,0.28811344920293,0.052699353249123664,0.023612786630599833
0.9905590968645671,0.2959918307345686,0.06268218911264602,0.018843434139962697
1.1254358508315696,0.30323608682390857,0.07455788912105372,0.015026172740538166
1.2786777268980591,0.3108165980700388,0.08868904661518051,0.0119252409204297
1.4527853613842987,0.32013259889580326,0.10550581874234258,0.009402642884101755
1.6505998828747652,0.3330059667716938,0.12553682755785492,0.00741474394142782
1.8753492744104643,0.351568129880671,0.14940901734613643,0.005810658443563103
2.130701048461599,0.37799866374363145,0.17762146379472155,0.0046043321551833
2.420822094242961,0.41410852948068033,0.21164730494728437,0.0035897036074911824
2.7504466739743543,0.46082849483565447,0.2525217576591168,0.0027888272804515715
3.124953677664736,0.5177366326281332,0.3012522236207536,0.0021663220668204546
3.550454397081473,0.5827859140499427,0.3598763858367056,0.0016639888459938582
4.033892251220623,0.6523755515148144,0.4307794014302606,0.0012580793989573427
4.583156090621484,0.721954221561143,0.5171495956291441,0.000952522545761382
5.207208929451393,0.7873622240796934,0.6240039982499064,0.0007099696083601994
5.91623420604064,0.8465047401827004,0.7564250726194758,0.0005201276407960307
6.721801958580707,0.899910630960651,0.924615881604425,0.000379217156526502
7.637057627679228,0.9496476886777501,1.103327507116431,0.0002758324064040829
8.676936566695368,0.9980520398790524,1.3122986003347201,0.00021367524537216188
9.858407760284809,1.0463344517451443,1.5607405038510644,0.0001637070726249701
11.200750728209842,1.0938992863356791,1.8564931514763163,0.00012694232698119023
12.72587013299487,1.1396315606801437,2.2078558930646555,9.956798574277604E-05
14.45865322526771,1.1835236120577726,2.5989430095798616,7.655388853463549E-05
16.427375959662296,1.2271619437231571,3.0881404469425093,6.0987511176004165E-05
18.664164408375882,1.2732603661054576,3.663490578476414,4.704674808691273E-05
21.205519001833704,1.325311617179569,4.329116198992359,3.6798492274844846E-05
24.092910151141346,1.3860928169460998,5.265369814103447,3.181010400656975E-05
27.3734549718295,1.4562107073444182,6.241146298105407,1.645427582584244E-05
31.100686151825478,1.5337485103564958,7.665212436137851,4.797397081654234E-06
35.33542551021658,1.6145487606854978,9.941660953074798,4.519902258008616E-09
40.14677650173894,1.6926208724233334,0,0
45.613251862909266,1.7607794030444524,,
51.82405480098948,1.8122115407463113,,
58.88053463252163,1.8426820087412281,,
66.8978406248788,1.8521740855679312,,
76.00680102860035,1.8454865362033814,,
86.35605796299512,1.8321355936964991,,
98.11449299256871,1.8263166223751384,,
111.47398297539121,1.8461712107958164,,
126.6525311539754,1.9113269852958297,,
143.89782458252938,2.039353748126082,,
163.49127594150298,2.2421073731104926,,
185.7526156946912,2.5225639096223063,,
211.0451095247746,2.8735935672869886,,
239.78148618661447,3.2777191389722162,,
272.43067251038207,3.7064905085148325,,
309.5254454578579,4.120276288516806,,
351.67112609992296,4.4718182059282725,,
399.5554573855738,4.71460516120068,,
453.9598268901783,4.809995101678709,,
515.7720176783681,4.728000005280279,,
586.0006953530946,4.446339035984764,,
665.7918676938581,3.949625180425997,,
756.4475854762908,3.2322576696454206,,
859.4471896373824,2.3026431253592676,,
976.4714515024996,1.1707659766033771,,
1109.4299999999967,0,,
