Sample Name,Citricacid_grind_for20um_2nd,,
Measurement Date Time,2025/12/18 19:54:16,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.2744947476602837,,
Dx (50),14.075905155711363,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0.000728080353618186,0.0026667704722456043,1
0.11308222859981587,0.10436132351242383,0.003277936829256543,0.43302510313259585
0.12847975911886883,0.20877914303311165,0.0039132482752340094,0.49846437906005486
0.14597385201576613,0.3112790499326188,0.004657107503481888,0.2632251233585172
0.1658499799381348,0.4111033372269032,0.00554121540491368,0.2691915340331017
0.18843248613120703,0.5077385434202042,0.006592693308370272,0.15748767517846857
0.21408987714579308,0.600383928472112,0.007840520001823451,0.14668076361049504
0.24324083621327308,0.6883756743461809,0.009319543887892858,0.0946400478732911
0.27636105541524886,0.7710801813528021,0.011080120902706178,0.08125001201455667
0.3139909981367784,0.8479391809956116,0.013179261471081677,0.0566895942692056
0.356744718472697,0.9184771603007391,0.01566630332363236,0.04839684842854403
0.4053198815041342,0.9823254405156785,0.0186254559373255,0.03836075852954993
0.4605091479584124,1.0392497806308922,0.0221543695669397,0.03280052111562982
0.5232131090298364,1.0891875577709271,0.02634398389147917,0.027235211747026446
0.5944549824347669,1.1322955184102064,0.03133650455887268,0.02356122984888301
0.675397309514597,1.1690102926585784,0.03726927281196032,0.02002599676588317
0.7673609258538154,1.2001222843848858,0.0443105909890591,0.01803179511575697
0.8718465149800815,1.2268607368932294,0.052699353249123664,0.015383776635451835
0.9905590968645671,1.2509818935656423,0.06268218911264602,0.013323706622049425
1.1254358508315696,1.274842050436252,0.07455788912105372,0.011400873606422628
1.2786777268980591,1.3014220952382232,0.08868904661518051,0.009801253376685535
1.4527853613842987,1.3342514165234647,0.10550581874234258,0.00829222526489003
1.6505998828747652,1.3771637267512489,0.12553682755785492,0.007039437358162584
1.8753492744104643,1.4338204690080545,0.14940901734613643,0.005913843722763673
2.130701048461599,1.5069795718791141,0.17762146379472155,0.0050314092261494695
2.420822094242961,1.5975768688444525,0.21164730494728437,0.004204568063911597
2.7504466739743543,1.703787771927697,0.2525217576591168,0.00350269185224499
3.124953677664736,1.8202646956561708,0.3012522236207536,0.002919011540740264
3.550454397081473,1.9377101254197662,0.3598763858367056,0.0024063226809641317
4.033892251220623,2.043169809364425,0.4307794014302606,0.0019532433608651857
4.583156090621484,2.1221606047965587,0.5171495956291441,0.0015847920228869918
5.207208929451393,2.1636376844295526,0.6240039982499064,0.0012653147142801162
5.91623420604064,2.165631323840948,0.7564250726194758,0.0009898858144659795
6.721801958580707,2.136345747507235,0.924615881604425,0.0007670720047705772
7.637057627679228,2.0897546408353023,1.103327507116431,0.0005857448617376627
8.676936566695368,2.0403929728550665,1.3122986003347201,0.0004717122736315515
9.858407760284809,1.9976463891082616,1.5607405038510644,0.0003731533739548392
11.200750728209842,1.9624838442660888,1.8564931514763163,0.0002966108059192723
12.72587013299487,1.9314544448884376,2.2078558930646555,0.00023754223854864016
14.45865322526771,1.901956170478492,2.5989430095798616,0.00018634967546980505
16.427375959662296,1.8737488533724473,3.0881404469425093,0.00015013146347258455
18.664164408375882,1.8477430640297925,3.663490578476414,0.00011833134131569499
21.205519001833704,1.8263588547837912,4.329116198992359,9.360107648580317E-05
24.092910151141346,1.810750807428775,5.265369814103447,8.066744355492698E-05
27.3734549718295,1.7983420609253287,6.241146298105407,4.2171693058322944E-05
31.100686151825478,1.7834202244166306,7.665212436137851,1.2276871887046572E-05
35.33542551021658,1.7589060191964947,9.941660953074798,6.96193162001538E-09
40.14677650173894,1.7178767707498679,0,0
45.613251862909266,1.6549293436022054,,
51.82405480098948,1.5686883074454414,,
58.88053463252163,1.464569922974988,,
66.8978406248788,1.354980544382613,,
76.00680102860035,1.2563409450909973,,
86.35605796299512,1.1845082732699268,,
98.11449299256871,1.1513872677937087,,
111.47398297539121,1.1623632620317466,,
126.6525311539754,1.2137393109588004,,
143.89782458252938,1.2922897846073909,,
163.49127594150298,1.37846106120098,,
185.7526156946912,1.4525694266837093,,
211.0451095247746,1.5037915450876085,,
239.78148618661447,1.5353991554101754,,
272.43067251038207,1.5610534067437811,,
309.5254454578579,1.5931333687311593,,
351.67112609992296,1.629905813669808,,
399.5554573855738,1.6530447188593627,,
453.9598268901783,1.636089677492592,,
515.7720176783681,1.5555332590216295,,
586.0006953530946,1.4026560584080272,,
665.7918676938581,1.1868683298955176,,
756.4475854762908,0.9262129580945384,,
859.4471896373824,0.6354586834682863,,
976.4714515024996,0.3158576863194469,,
1109.4299999999967,0,,
