Sample Name,MSG_grind_for200um,,
Measurement Date Time,2025/12/19 19:00:13,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.42453984498910347,,
Dx (50),179.5878697069383,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0,0.003277936829256543,0.7285422241267302
0.12847975911886883,0.0004822293161667785,0.0039132482752340094,0.7577824939201431
0.14597385201576613,0.06420427733788686,0.004657107503481888,0.5813234995816151
0.1658499799381348,0.08640464881359942,0.00554121540491368,0.541980231342463
0.18843248613120703,0.10811742744984237,0.006592693308370272,0.4129771673421514
0.21408987714579308,0.12982613818371108,0.007840520001823451,0.3504235447452165
0.24324083621327308,0.15144523973067037,0.009319543887892858,0.25868038036223284
0.27636105541524886,0.17284503298000964,0.011080120902706178,0.20774709330184737
0.3139909981367784,0.1938810077969123,0.013179261471081677,0.1525020390860878
0.356744718472697,0.21437423140780765,0.01566630332363236,0.12215493068522201
0.4053198815041342,0.23412175312573535,0.0186254559373255,0.09335253836423461
0.4605091479584124,0.25290349414975255,0.0221543695669397,0.07576786383799769
0.5232131090298364,0.27049707469310036,0.02634398389147917,0.060011667804841934
0.5944549824347669,0.2867001004864105,0.03133650455887268,0.04886622405969865
0.675397309514597,0.30136323342051297,0.03726927281196032,0.03908515710999781
0.7673609258538154,0.3144364569860083,0.0443105909890591,0.032510008452534524
0.8718465149800815,0.32603046149852144,0.052699353249123664,0.02606139457008065
0.9905590968645671,0.3364927324010214,0.06268218911264602,0.020995758952614876
1.1254358508315696,0.3464931169069856,0.07455788912105372,0.01684895729350228
1.2786777268980591,0.3571051403350922,0.08868904661518051,0.013490547318485441
1.4527853613842987,0.3698567481155557,0.10550581874234258,0.010712466050712405
1.6505998828747652,0.38670936818760016,0.12553682755785492,0.00851098573248629
1.8753492744104643,0.4099140259473941,0.14940901734613643,0.006737513065633125
2.130701048461599,0.4417010051447603,0.17762146379472155,0.005380336800708583
2.420822094242961,0.4838011176298931,0.21164730494728437,0.004223512965437158
2.7504466739743543,0.5368743427620064,0.2525217576591168,0.0033106878900641032
3.124953677664736,0.6000019419943534,0.3012522236207536,0.002589402500235841
3.550454397081473,0.6704236964806061,0.3598763858367056,0.0020097348435791024
4.033892251220623,0.7436832061509921,0.4307794014302606,0.001535067369565974
4.583156090621484,0.8144021504039678,0.5171495956291441,0.0011724990303510865
5.207208929451393,0.8779084169616063,0.6240039982499064,0.0008818310814197914
5.91623420604064,0.9322007367735257,0.7564250726194758,0.0006512758676769232
6.721801958580707,0.9785769412096261,0.924615881604425,0.0004773934114390584
7.637057627679228,1.0203239590815727,1.103327507116431,0.00034828370578896277
8.676936566695368,1.06109255084238,1.3122986003347201,0.00027016877843996
9.858407760284809,1.1030935596787188,1.5607405038510644,0.00020677987864464224
11.200750728209842,1.146103720327579,1.8564931514763163,0.00016011704260490939
12.72587013299487,1.1887538180872674,2.2078558930646555,0.0001251811429523126
14.45865322526771,1.230340969509335,2.5989430095798616,9.599146875818573E-05
16.427375959662296,1.2714675253436099,3.0881404469425093,7.619163699814338E-05
18.664164408375882,1.313741126219952,3.663490578476414,5.863266043383891E-05
21.205519001833704,1.35979013452679,4.329116198992359,4.571520964781689E-05
24.092910151141346,1.412050464450111,5.265369814103447,3.949651153620187E-05
27.3734549718295,1.4714514594147978,6.241146298105407,2.0375265217181435E-05
31.100686151825478,1.5369777806386686,7.665212436137851,5.8977497015957785E-06
35.33542551021658,1.6056050660661043,9.941660953074798,4.153390930494709E-09
40.14677650173894,1.6722953878854128,0,0
45.613251862909266,1.730402770305293,,
51.82405480098948,1.7732101380906968,,
58.88053463252163,1.796168895077443,,
66.8978406248788,1.7985547473767056,,
76.00680102860035,1.783992581273182,,
86.35605796299512,1.7600557420504117,,
98.11449299256871,1.738129963830275,,
111.47398297539121,1.7333533932506882,,
126.6525311539754,1.7634070578085002,,
143.89782458252938,1.8463213351895718,,
163.49127594150298,1.997859939171434,,
185.7526156946912,2.2288554041359916,,
211.0451095247746,2.5434218070540098,,
239.78148618661447,2.93666508709601,,
272.43067251038207,3.390573260456698,,
309.5254454578579,3.869489181918496,,
351.67112609992296,4.319732723753631,,
399.5554573855738,4.677330913742921,,
453.9598268901783,4.879758190401915,,
515.7720176783681,4.874881213564677,,
586.0006953530946,4.627903034257315,,
665.7918676938581,4.124433837023162,,
756.4475854762908,3.3714515841033545,,
859.4471896373824,2.393966701404352,,
976.4714515024996,1.2134256643863495,,
1109.4299999999967,0,,
