Sample Name,MSG_grind_for100um_2nd,,
Measurement Date Time,2025/12/19 19:42:05,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.4541166601595948,,
Dx (50),124.92381711475167,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0,0.003277936829256543,0.6540724437243609
0.12847975911886883,0.0007230643002872918,0.0039132482752340094,0.6867733649076815
0.14597385201576613,0.08881637998535856,0.004657107503481888,0.5076946347916657
0.1658499799381348,0.11876777229889303,0.00554121540491368,0.48285148786437004
0.18843248613120703,0.1475507293601125,0.006592693308370272,0.36142027642637337
0.21408987714579308,0.175628411631081,0.007840520001823451,0.31593702221107384
0.24324083621327308,0.20283375512090907,0.009319543887892858,0.2369370876614664
0.27636105541524886,0.22895160637988343,0.011080120902706178,0.194327287421042
0.3139909981367784,0.25375898917760187,0.013179261471081677,0.14542506361369786
0.356744718472697,0.2770183816352654,0.01566630332363236,0.1179185764544174
0.4053198815041342,0.29848789642826556,0.0186254559373255,0.09170236803060759
0.4605091479584124,0.31793220670513933,0.0221543695669397,0.07531774385180999
0.5232131090298364,0.3351409246374555,0.02634398389147917,0.06047673868745184
0.5944549824347669,0.3499553589756874,0.03133650455887268,0.04977595996413114
0.675397309514597,0.36230662767539545,0.03726927281196032,0.04014855758122002
0.7673609258538154,0.3722675548281442,0.0443105909890591,0.03369687536479304
0.8718465149800815,0.38011995672109666,0.052699353249123664,0.02731197094013407
0.9905590968645671,0.38643625371347,0.06268218911264602,0.022213857322686086
1.1254358508315696,0.3921689692696466,0.07455788912105372,0.01799209898356331
1.2786777268980591,0.3987324542795543,0.08868904661518051,0.014516547926547994
1.4527853613842987,0.4080479104620345,0.10550581874234258,0.011599541638202565
1.6505998828747652,0.4225079537727048,0.12553682755785492,0.009276262452346917
1.8753492744104643,0.4448083058766281,0.14940901734613643,0.007356644989731323
2.130701048461599,0.4776058145582951,0.17762146379472155,0.005899006208109759
2.420822094242961,0.5230086210218063,0.21164730494728437,0.004646407287154667
2.7504466739743543,0.5819825745881992,0.2525217576591168,0.003639240012667397
3.124953677664736,0.6538256169409955,0.3012522236207536,0.0028444392196201353
3.550454397081473,0.7358640575624662,0.3598763858367056,0.002198850738560715
4.033892251220623,0.8235091136814532,0.4307794014302606,0.0016713587354246003
4.583156090621484,0.9109426096873676,0.5171495956291441,0.001270222339281717
5.207208929451393,0.9927697154940898,0.6240039982499064,0.0009507671843669891
5.91623420604064,1.0661182275394445,0.7564250726194758,0.0006995487638058624
6.721801958580707,1.1313436738016254,0.924615881604425,0.0005127091405175286
7.637057627679228,1.190701670309343,1.103327507116431,0.000374777435460501
8.676936566695368,1.2467664773417209,1.3122986003347201,0.00029205517003666237
9.858407760284809,1.3006948767908426,1.5607405038510644,0.00022528000171080672
11.200750728209842,1.3513985926688505,1.8564931514763163,0.0001759312962985495
12.72587013299487,1.3972130860558387,2.2078558930646555,0.00013908516723211544
14.45865322526771,1.437950904483614,2.5989430095798616,0.00010800689738798762
16.427375959662296,1.475448473055831,3.0881404469425093,8.678788481276561E-05
18.664164408375882,1.5129140253494775,3.663490578476414,6.771768136143234E-05
21.205519001833704,1.5544979075438867,4.329116198992359,5.342101948519427E-05
24.092910151141346,1.6034581598894526,5.265369814103447,4.6362799693190215E-05
27.3734549718295,1.6604000241846713,6.241146298105407,2.4195235633138003E-05
31.100686151825478,1.7228984625760013,7.665212436137851,7.086667839067209E-06
35.33542551021658,1.7859392713069688,9.941660953074798,4.609855792304276E-09
40.14677650173894,1.8426575226185093,0,0
45.613251862909266,1.885481199216926,,
51.82405480098948,1.908230892498942,,
58.88053463252163,1.9084667701929732,,
66.8978406248788,1.8885332462422255,,
76.00680102860035,1.855016830892822,,
86.35605796299512,1.817497428973553,,
98.11449299256871,1.7879953355392217,,
111.47398297539121,1.78054931112856,,
126.6525311539754,1.80978120421166,,
143.89782458252938,1.888994017054614,,
163.49127594150298,2.0282638086625084,,
185.7526156946912,2.2324271657773167,,
211.0451095247746,2.5002502348694904,,
239.78148618661447,2.8232868371754094,,
272.43067251038207,3.183079514900598,,
309.5254454578579,3.548142487600302,,
351.67112609992296,3.8748932716466697,,
399.5554573855738,4.115410850242611,,
453.9598268901783,4.226714482705319,,
515.7720176783681,4.174971522668102,,
586.0006953530946,3.937299479066823,,
665.7918676938581,3.5014188751055144,,
756.4475854762908,2.866072961661004,,
859.4471896373824,2.0418456935943965,,
976.4714515024996,1.0384068664532151,,
1109.4299999999967,0,,
