Sample Name,NaCl_grind_for250um_3rd,,
Measurement Date Time,2025/12/17 18:51:00,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,No,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,2,,
Feed Rate Demand,0,,
Weighted Residual,0.47166108273793844,,
Dx (50),238.22189823722175,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0,0.003277936829256543,0.9356139374218551
0.12847975911886883,0,0.0039132482752340094,0.9092818375520679
0.14597385201576613,0,0.004657107503481888,0.8500048952489546
0.1658499799381348,0,0.00554121540491368,0.8203095207900639
0.18843248613120703,0,0.006592693308370272,0.7350528612081095
0.21408987714579308,0,0.007840520001823451,0.6558114786235044
0.24324083621327308,0,0.009319543887892858,0.5501298132678308
0.27636105541524886,0,0.011080120902706178,0.45050864242496164
0.3139909981367784,0,0.013179261471081677,0.3340275032596192
0.356744718472697,0,0.01566630332363236,0.24922547795317151
0.4053198815041342,0,0.0186254559373255,0.17112849351615536
0.4605091479584124,0,0.0221543695669397,0.12438726990720982
0.5232131090298364,0,0.02634398389147917,0.08882491094782734
0.5944549824347669,0,0.03133650455887268,0.06551922313914228
0.675397309514597,0,0.03726927281196032,0.04694564955659044
0.7673609258538154,0,0.0443105909890591,0.035230457401185
0.8718465149800815,0,0.052699353249123664,0.025762522028003925
0.9905590968645671,0,0.06268218911264602,0.018832376655007636
1.1254358508315696,0,0.07455788912105372,0.013880623485249889
1.2786777268980591,0,0.08868904661518051,0.010112790829879098
1.4527853613842987,0,0.10550581874234258,0.007385183312879979
1.6505998828747652,0,0.12553682755785492,0.005363881084481287
1.8753492744104643,0.0008814394486288216,0.14940901734613643,0.0038865113059692907
2.130701048461599,0.06276683567719964,0.17762146379472155,0.002835095211380319
2.420822094242961,0.07803564259397458,0.21164730494728437,0.0020387079266435703
2.7504466739743543,0.09241828517713219,0.2525217576591168,0.0014614128078913157
3.124953677664736,0.10607182800151743,0.3012522236207536,0.001049542536691823
3.550454397081473,0.12032752077160658,0.3598763858367056,0.0007440027077724912
4.033892251220623,0.13728419972141614,0.4307794014302606,0.0005209298748904046
4.583156090621484,0.15764651471836666,0.5171495956291441,0.00036648068272486517
5.207208929451393,0.18216379121543858,0.6240039982499064,0.0002545981534410394
5.91623420604064,0.2111485092047407,0.7564250726194758,0.0001744774544377077
6.721801958580707,0.24423354714265022,0.924615881604425,0.0001198362970025756
7.637057627679228,0.28053478863969916,1.103327507116431,8.287096811773932E-05
8.676936566695368,0.3189874727772295,1.3122986003347201,6.188158690160514E-05
9.858407760284809,0.3586293190562968,1.5607405038510644,4.5825373367454097E-05
11.200750728209842,0.39905701085099343,1.8564931514763163,3.490093385995237E-05
12.72587013299487,0.44092410954850836,2.2078558930646555,2.682291645739041E-05
14.45865322526771,0.48631305417926196,2.5989430095798616,2.1362974152658926E-05
16.427375959662296,0.5387117536991508,3.0881404469425093,1.6617178444831614E-05
18.664164408375882,0.6025788509760304,3.663490578476414,1.3474085006677899E-05
21.205519001833704,0.682360873833864,4.329116198992359,1.0470933721664502E-05
24.092910151141346,0.781076584897967,5.265369814103447,9.77896106021729E-06
27.3734549718295,0.8988130875748537,6.241146298105407,5.091348693627448E-06
31.100686151825478,1.0316075375277922,7.665212436137851,1.5333763897375675E-06
35.33542551021658,1.171200561682122,9.941660953074798,7.733826480467235E-10
40.14677650173894,1.3060467537594285,0,0
45.613251862909266,1.4238958684019938,,
51.82405480098948,1.515964812359373,,
58.88053463252163,1.582148650522475,,
66.8978406248788,1.6359711515460855,,
76.00680102860035,1.70742832177989,,
86.35605796299512,1.842103218310676,,
98.11449299256871,2.095227577772949,,
111.47398297539121,2.5201485156307015,,
126.6525311539754,3.153501013061465,,
143.89782458252938,3.9982855135193986,,
163.49127594150298,5.009889528379482,,
185.7526156946912,6.090679472081057,,
211.0451095247746,7.097764966261586,,
239.78148618661447,7.865497412764441,,
272.43067251038207,8.239902139514115,,
309.5254454578579,8.117120648539114,,
351.67112609992296,7.476295119626613,,
399.5554573855738,6.3945072142908685,,
453.9598268901783,5.034111987026719,,
515.7720176783681,3.60120580780341,,
586.0006953530946,2.167935436513403,,
665.7918676938581,0.7374963738847669,,
756.4475854762908,0.00309937773353397,,
859.4471896373824,0,,
976.4714515024996,1.839924910029822E-05,,
1109.4299999999967,0,,
