figure,material,trial,grind_min,psd_file
FigS4,MSG,1st,3,data/powder_size_distribution/exp2/MSG/1st/20260217_135217_MSG_grind3min.csv
FigS4,MSG,1st,5,data/powder_size_distribution/exp2/MSG/1st/20260217_135939_MSG_grind5min.csv
FigS4,MSG,1st,7,data/powder_size_distribution/exp2/MSG/1st/20260217_140911_MSG_grind7min.csv
FigS4,MSG,1st,10,data/powder_size_distribution/exp2/MSG/1st/20260217_142159_MSG_grind10min.csv
FigS4,MSG,1st,15,data/powder_size_distribution/exp2/MSG/1st/20260217_143937_MSG_grind15min.csv
FigS4,MSG,1st,20,data/powder_size_distribution/exp2/MSG/1st/20260217_150438_MSG_grind20min.csv
FigS4,MSG,1st,25,data/powder_size_distribution/exp2/MSG/1st/20260217_153319_MSG_grind25min.csv
FigS4,MSG,2nd,3,data/powder_size_distribution/exp2/MSG/2nd/20260217_154031_MSG_grind3min_2nd.csv
FigS4,MSG,2nd,5,data/powder_size_distribution/exp2/MSG/2nd/20260217_154853_MSG_grind5min_2nd.csv
FigS4,MSG,2nd,7,data/powder_size_distribution/exp2/MSG/2nd/20260217_155852_MSG_grind7min_2nd.csv
FigS4,MSG,2nd,10,data/powder_size_distribution/exp2/MSG/2nd/20260217_161243_MSG_grind10min_2nd.csv
FigS4,MSG,2nd,15,data/powder_size_distribution/exp2/MSG/2nd/20260217_165209_MSG_grind15min_2nd.csv
FigS4,MSG,2nd,20,data/powder_size_distribution/exp2/MSG/2nd/20260217_172109_MSG_grind20min_2nd.csv
FigS4,MSG,2nd,25,data/powder_size_distribution/exp2/MSG/2nd/20260217_174926_MSG_grind25min_2nd.csv
FigS4,MSG,3rd,3,data/powder_size_distribution/exp2/MSG/3rd/20260217_175505_MSG_grind3min_3rd.csv
FigS4,MSG,3rd,5,data/powder_size_distribution/exp2/MSG/3rd/20260217_180321_MSG_grind5min_3rd.csv
FigS4,MSG,3rd,7,data/powder_size_distribution/exp2/MSG/3rd/20260217_181400_MSG_grind7min_3rd.csv
FigS4,MSG,3rd,10,data/powder_size_distribution/exp2/MSG/3rd/20260217_182801_MSG_grind10min_3rd.csv
FigS4,MSG,3rd,15,data/powder_size_distribution/exp2/MSG/3rd/20260217_184503_MSG_grind15min_3rd.csv
FigS4,MSG,3rd,20,data/powder_size_distribution/exp2/MSG/3rd/20260217_190757_MSG_grind20min_3rd.csv
FigS4,MSG,3rd,25,data/powder_size_distribution/exp2/MSG/3rd/20260217_193344_MSG_grind25min_3rd.csv
