Material,Trial,Target_Size,Common_Measured_Value,Common_AE_Last_mV2,P2AE_AE_Threshold,P2AE_Is_ExpectedCross,P2AE_Total_Deviation,P2AE_Total_Deviation_Percent,AE2P_Predicted_Value,AE2P_Predicted_Sigma,AE2P_Estimation_Error,AE2P_Estimation_Error_Percent,AE2P_Est_Error_In_GPR_Range
Citricacid,1st,20,18.72648799579734,29.12474450995075,47.66573704329835,False,1.2735120042026615,6.367560021013308,18.853939375068315,3.0791827150695656,-0.12745137927097616,-0.6805941364957445,True
Citricacid,2nd,20,12.405346501537693,23.687833196648782,47.66573704329835,True,7.594653498462307,37.973267492311535,18.340051263190226,3.059344412757229,-5.934704761652533,-47.83989516872344,False
Citricacid,3rd,20,14.870477143365228,14.641998937744976,47.66573704329835,False,5.129522856634772,25.64761428317386,17.46517047017104,3.019336799414092,-2.5946933268058103,-17.448621868623,True
Citricacid,1st,50,40.57337737252892,127.34451766555364,181.5918508282315,False,9.426622627471083,18.853245254942166,46.87692860619633,3.3308752146649443,-6.303551233667413,-15.536175792788127,False
Citricacid,2nd,50,27.695512622246053,79.4270416457337,181.5918508282315,False,22.304487377753947,44.608974755507894,40.9368525056235,3.626581374824066,-13.241339883377446,-47.810416308169415,False
Citricacid,3rd,50,32.92123467509648,119.27304976565908,181.5918508282315,False,17.07876532490352,34.15753064980704,47.52052658841653,3.300136216229213,-14.599291913320052,-44.34612509950545,False
Citricacid,1st,100,73.3813427010298,256.01874118821644,509.61811189675984,False,26.618657298970206,26.618657298970206,75.2142682763277,4.516329283113537,-1.8329255752979066,-2.497808717899331,True
Citricacid,2nd,100,88.30288007439384,269.377395329171,509.61811189675984,False,11.69711992560616,11.69711992560616,86.33957711477355,4.4481707749111745,1.963302959620293,2.223373640776201,True
Citricacid,3rd,100,98.2165381354048,339.6523691602516,509.61811189675984,False,1.7834618645951963,1.7834618645951963,85.83196711106692,4.537380091528367,12.384571024337887,12.609455860950911,False
MSG,1st,50,46.8042108307719,294.2277249380024,406.5745624734747,True,3.1957891692280995,6.3915783384562,37.95574332164276,11.057903011354714,8.848467509129144,18.905280854156885,True
MSG,2nd,50,48.451775875223916,315.9486380917163,406.5745624734747,True,1.548224124776084,3.096448249552168,44.37311865390943,10.960262057196443,4.0786572213144865,8.417972608100275,True
MSG,3rd,50,44.14651798302253,293.39404906690123,406.5745624734747,False,5.853482016977473,11.706964033954947,40.61929759410741,11.01398633054081,3.5272203889151186,7.989804292767971,True
MSG,1st,100,113.88899117348328,487.197259822933,662.1299090368802,True,-13.888991173483276,-13.888991173483275,91.94494021565629,10.799097770035251,21.94405095782699,19.267929877788056,False
MSG,2nd,100,110.03571976953762,546.9780906606752,662.1299090368802,False,-10.035719769537621,-10.035719769537621,91.62844526925947,10.798399114386047,18.40727450027815,16.728453759225587,False
MSG,3rd,100,109.19556337667655,559.0162102192472,662.1299090368802,False,-9.195563376676546,-9.195563376676546,85.99432711898027,10.787945572228955,23.20123625769628,21.24741659847685,False
MSG,1st,200,158.31094078821812,712.4591950806317,1387.0620114561614,False,41.68905921178188,20.84452960589094,150.0310203149752,11.014277070673995,8.279920473242925,5.230163140979284,True
MSG,2nd,200,179.22424180415769,808.3782100585063,1387.0620114561614,False,20.775758195842315,10.387879097921157,152.47185131736265,11.02660187801745,26.752390486795036,14.926770071666962,False
MSG,3rd,200,166.54391639510638,890.9349256253014,1387.0620114561614,False,33.45608360489362,16.72804180244681,170.3057309678075,11.136184699538884,-3.7618145727011267,-2.25875231838349,True
NaCl,1st,150,117.61195009873026,26.603903026223186,61.13463117548262,False,32.38804990126974,21.59203326751316,125.03811621270867,12.115915514769236,-7.426166113978411,-6.3141254844804955,True
NaCl,2nd,150,109.09531212573215,38.585120094452925,61.13463117548262,False,40.90468787426785,27.269791916178566,121.24501068323073,12.03139574044854,-12.149698557498581,-11.13677418466531,False
NaCl,3rd,150,123.2278104031343,39.773067082379875,61.13463117548262,False,26.7721895968657,17.848126397910466,121.16584638530264,12.029749909233944,2.061964017831656,1.6732943733123493,True
NaCl,1st,200,172.9169951198777,79.23163178626497,117.14081693524474,False,27.083004880122303,13.541502440061151,180.72854241815259,12.57025344596477,-7.811547298274888,-4.517512748159542,True
NaCl,2nd,200,180.16286456662922,72.45760694419909,117.14081693524474,False,19.837135433370776,9.918567716685388,181.03635900849167,12.56562440350237,-0.873494441862448,-0.4848360087766064,True
NaCl,3rd,200,166.9756932521096,63.84149383174835,117.14081693524474,False,33.02430674789039,16.512153373945196,178.6403094530525,12.600666579640865,-11.664616200942902,-6.985816901703762,True
NaCl,1st,250,197.22986397801174,104.93522613622079,172.9868044873573,False,52.770136021988264,21.108054408795308,205.9208775653079,12.603929784629118,-8.691013587296169,-4.4065403747705725,True
NaCl,2nd,250,222.29949749081902,116.95963071432593,172.9868044873573,False,27.70050250918098,11.080201003672391,213.9149084976376,12.476172397769997,8.38458899318141,3.77175346225319,True
NaCl,3rd,250,209.75222302991318,108.10282882562088,172.9868044873573,False,40.24777697008682,16.099110788034725,211.4041184096306,12.52191630392195,-1.6518953797174163,-0.7875460654745176,True
