Material,Trial,Target_Size,Common_Measured_Value,Common_AE_Last_mV2,P2AE_AE_Threshold,P2AE_Is_ExpectedCross,P2AE_Total_Deviation,P2AE_Total_Deviation_Percent,AE2P_Predicted_Value,AE2P_Predicted_Sigma,AE2P_Estimation_Error,AE2P_Estimation_Error_Percent,AE2P_Est_Error_In_GPR_Range
Citricacid,1st,20,127.68350092528809,29.12474450995075,170.418387646447,False,-107.68350092528809,-538.4175046264405,130.2300789637259,5.305222223453117,-2.546578038437815,-1.9944456566302198,True
Citricacid,2nd,20,97.6891622430055,23.687833196648782,170.418387646447,False,-77.6891622430055,-388.4458112150275,127.55529909780441,5.257087312882087,-29.86613685479891,-30.57262051291397,False
Citricacid,3rd,20,109.2956191817238,14.641998937744976,170.418387646447,False,-89.2956191817238,-446.4780959086189,122.88140368477762,5.177153760670238,-13.58578450305383,-12.430310203435509,False
Citricacid,1st,50,176.0982203552344,127.34451766555364,90.66068415195554,False,-126.09822035523439,-252.19644071046878,189.17728598549274,5.8463539228553705,-13.079065630258356,-7.427142423060603,False
Citricacid,2nd,50,149.75001524808536,79.4270416457337,90.66068415195554,True,-99.75001524808536,-199.50003049617072,176.78381471045,6.815391433379942,-27.03379946236464,-18.052618837853696,False
Citricacid,3rd,50,160.47846165584406,119.27304976565908,90.66068415195554,False,-110.47846165584406,-220.95692331168812,188.6333543257805,5.680115588487327,-28.15489266993643,-17.544343570738068,False
Citricacid,1st,100,222.9976776599742,256.01874118821644,2.3240868163230743,False,-122.99767765997419,-122.99767765997419,227.74976752341337,8.825093264109439,-4.752089863439181,-2.131004193992166,True
Citricacid,2nd,100,233.9801671291208,269.377395329171,2.3240868163230743,False,-133.9801671291208,-133.9801671291208,237.63938056977076,8.418984232272518,-3.659213440649978,-1.5638989772285525,True
Citricacid,3rd,100,245.5608384931271,339.6523691602516,2.3240868163230743,False,-145.5608384931271,-145.5608384931271,237.41871002321233,8.696877761996882,8.14212846991478,3.315727589088953,True
MSG,1st,50,172.38799451909958,294.2277249380024,756.5730546385746,False,-122.38799451909958,-244.77598903819916,156.90588105419837,10.932514568257503,15.482113464901204,8.980969648200112,False
MSG,2nd,50,172.5700268352531,315.9486380917163,756.5730546385746,False,-122.57002683525309,-245.14005367050618,163.8924754963305,10.779201434815523,8.677551338922598,5.028423242471168,True
MSG,3rd,50,169.21132418225702,293.39404906690123,756.5730546385746,False,-119.21132418225702,-238.42264836451403,159.81152724855406,10.857616187325943,9.399796933702959,5.5550637518671415,True
MSG,1st,100,217.63011965159174,487.197259822933,472.7573514477734,False,-117.63011965159174,-117.63011965159174,211.74762712545538,10.93612983807748,5.88249252613636,2.7029772053398475,True
MSG,2nd,100,226.6212563418271,546.9780906606752,472.7573514477734,False,-126.62125634182709,-126.62125634182708,211.46569835014273,10.933970747265834,15.155557991684361,6.687615379214154,False
MSG,3rd,100,213.65982972152773,559.0162102192472,472.7573514477734,False,-113.65982972152773,-113.65982972152773,206.34417134757416,10.891975539975363,7.315658373953568,3.423974634580767,True
MSG,1st,200,254.48314191210142,712.4591950806317,548.9430561808484,False,-54.483141912101416,-27.241570956050708,251.01979275919246,10.965960734062197,3.463349152908961,1.3609346092187133,True
MSG,2nd,200,260.1013878039964,808.3782100585063,548.9430561808484,False,-60.101387803996374,-30.050693901998187,252.083448149943,10.964491643045582,8.017939654053379,3.0826208663274905,True
MSG,3rd,200,254.489807827202,890.9349256253014,548.9430561808484,False,-54.489807827201986,-27.244903913600993,258.48375334156873,11.064953182700615,-3.993945514366743,-1.569393111836771,True
NaCl,1st,150,144.55472882122478,26.603903026223186,34.14246415593085,True,5.445271178775215,3.6301807858501434,165.195380074079,13.133470463682475,-20.640651252854212,-14.278779685153802,False
NaCl,2nd,150,145.37910021940644,38.585120094452925,34.14246415593085,False,4.620899780593561,3.0805998537290407,161.8212719606871,13.041943290188412,-16.442171741280674,-11.309859337735697,False
NaCl,3rd,150,157.4923069302213,39.773067082379875,34.14246415593085,False,-7.492306930221304,-4.9948712868142024,161.75113963538868,13.040170630716378,-4.258832705167379,-2.7041528492272966,True
NaCl,1st,200,195.9227765353232,79.23163178626497,73.90044742951373,False,4.077223464676791,2.0386117323383957,215.5749155898579,13.66070131172962,-19.6521390545347,-10.030553569146457,False
NaCl,2nd,200,215.76279716982575,72.45760694419909,73.90044742951373,False,-15.762797169825745,-7.881398584912873,215.83471291803647,13.654988902255779,-0.07191574821072777,-0.03333093061178813,True
NaCl,3rd,200,193.81759088216933,63.84149383174835,73.90044742951373,False,6.182409117830673,3.0912045589153365,213.79074540277435,13.697895443123366,-19.97315452060502,-10.30512990575124,False
NaCl,1st,250,221.84433129020323,104.93522613622079,146.70786862950206,False,28.15566870979677,11.26226748391871,233.4535264071364,13.716386966696447,-11.609195116933165,-5.233036629521411,True
NaCl,2nd,250,253.82288255556503,116.95963071432593,146.70786862950206,False,-3.8228825555650303,-1.5291530222260121,240.31610826870767,13.562849309235384,13.506774286857365,5.321338309165472,True
NaCl,3rd,250,235.14385229202085,108.10282882562088,146.70786862950206,False,14.856147707979147,5.942459083191659,238.07059717935346,13.618484195252437,-2.926744887332603,-1.2446614524703508,True
