particle_size,ae_power_mV2,grind_min,trial,reagent
128.32965469292057,32.72457852392356,20.0,2nd,Citricacid
216.49374489723166,325.30473295532056,7.0,2nd,Citricacid
304.5014517732189,913.622851957277,3.0,2nd,Citricacid
151.6156537179458,75.07971483603745,15.0,2nd,Citricacid
189.41624245491838,131.734787918448,10.0,2nd,Citricacid
237.66923843876512,437.10516216630685,5.0,2nd,Citricacid
87.49605021875516,9.365517418630096,25.0,2nd,Citricacid
170.1599542134617,211.0044629096607,10.0,1st,Citricacid
294.5030887588014,1066.8746107772297,3.0,1st,Citricacid
142.12674269912546,65.6740475787897,15.0,1st,Citricacid
222.259767247349,344.8849511123659,7.0,1st,Citricacid
231.08350823408045,440.4471545884482,5.0,1st,Citricacid
128.01170913529467,34.22249629495883,20.0,1st,Citricacid
81.2560530706252,9.729279923608882,25.0,1st,Citricacid
87.33246048466121,13.524612482432852,25.0,3rd,Citricacid
184.07663705677967,156.17602781668467,10.0,3rd,Citricacid
111.53880247707909,19.998465492446638,20.0,3rd,Citricacid
226.38296720994774,272.22088472813465,7.0,3rd,Citricacid
237.2852187948502,415.60282517417005,5.0,3rd,Citricacid
148.63507449937921,82.17547618732412,15.0,3rd,Citricacid
294.55273220790696,958.6843014681198,3.0,3rd,Citricacid
309.5803363673092,192.13426431677559,3.0,2nd,NaCl
245.707739286297,135.13165484661187,5.0,2nd,NaCl
221.210618569214,99.41674745402393,10.0,2nd,NaCl
133.722387883344,30.803632999111972,25.0,2nd,NaCl
178.08450577507318,49.640868413126185,15.0,2nd,NaCl
237.17983508419016,104.47757691003085,7.0,2nd,NaCl
156.93411682440933,36.36632489298246,20.0,2nd,NaCl
227.64451417411183,121.61144405794352,7.0,1st,NaCl
138.33897740025697,35.632483476247586,20.0,1st,NaCl
165.3491000625475,53.81750437524697,15.0,1st,NaCl
207.99870015000482,79.17157714351703,10.0,1st,NaCl
299.5620779905936,163.38075042201757,3.0,1st,NaCl
253.57656393124756,154.01471914416487,5.0,1st,NaCl
150.80838853640293,31.939916912042552,25.0,1st,NaCl
189.320258453682,52.65805361909085,15.0,3rd,NaCl
236.45792725362037,152.61166918259224,7.0,3rd,NaCl
148.79789074105403,25.218847114600877,25.0,3rd,NaCl
148.48121175384716,36.31387345908618,20.0,3rd,NaCl
254.36378808117274,151.66580164247893,5.0,3rd,NaCl
213.81212797269592,93.11159670173899,10.0,3rd,NaCl
289.48999092245407,216.13846793288405,3.0,3rd,NaCl
153.07987837114325,330.97165824646254,20.0,2nd,MSG
249.8511174252811,886.3034367815769,7.0,2nd,MSG
141.53317867990728,282.8228583604448,25.0,2nd,MSG
191.35829702803878,472.0883491179731,15.0,2nd,MSG
227.99761770460677,721.0649819088413,10.0,2nd,MSG
312.587229367361,2786.4283614861006,3.0,2nd,MSG
249.48394797453392,1117.0322155050296,5.0,2nd,MSG
147.26496625220034,349.67069699715745,25.0,1st,MSG
179.07909445704252,453.4562408752461,15.0,1st,MSG
216.12656524087345,734.6121047711752,10.0,1st,MSG
175.47957573865514,402.5636126213783,20.0,1st,MSG
236.17424041276516,816.7811583967558,7.0,1st,MSG
265.9182879534211,1171.7876078758973,5.0,1st,MSG
312.76523205671344,2244.7896460406014,3.0,1st,MSG
192.63877861969493,452.4265735382393,15.0,3rd,MSG
324.01494716567714,2478.265322692972,3.0,3rd,MSG
234.02045049312244,579.7866974864185,10.0,3rd,MSG
160.06047281572552,393.36549557763874,20.0,3rd,MSG
258.19385909542586,950.8452845815349,7.0,3rd,MSG
269.7741792363826,1162.8793263091093,5.0,3rd,MSG
154.54543443666336,337.0649909174458,25.0,3rd,MSG
