Material,Trial,Target_Size,Common_Measured_Value,Common_AE_Last_mV2,P2AE_AE_Threshold,P2AE_Is_ExpectedCross,P2AE_Total_Deviation,P2AE_Total_Deviation_Percent,AE2P_Predicted_Value,AE2P_Predicted_Sigma,AE2P_Estimation_Error,AE2P_Estimation_Error_Percent,AE2P_Est_Error_In_GPR_Range
Citricacid,1st,20,515.7720176783681,29.12474450995075,286.48366391953897,False,-495.7720176783681,-2478.8600883918407,577.0483146325269,42.846063699898,-61.27629695415874,-11.880500464135341,False
Citricacid,2nd,20,5.91623420604064,23.687833196648782,286.48366391953897,False,14.08376579395936,70.41882896979679,522.7067575298734,34.780433109774,-516.7905233238328,-8735.126185440313,False
Citricacid,3rd,20,5.91623420604064,14.641998937744976,286.48366391953897,False,14.08376579395936,70.41882896979679,405.0015176867745,38.08287248238047,-399.08528348073384,-6745.596431480969,False
Citricacid,1st,50,515.7720176783681,127.34451766555364,286.48366391953897,False,-465.7720176783681,-931.5440353567362,517.6713380104203,63.52874568545887,-1.8993203320521843,-0.368248037301742,True
Citricacid,2nd,50,515.7720176783681,79.4270416457337,286.48366391953897,False,-465.7720176783681,-931.5440353567362,471.24142239247453,150.60788616448303,44.53059528589358,8.633774954744162,True
Citricacid,3rd,50,515.7720176783681,119.27304976565908,286.48366391953897,False,-465.7720176783681,-931.5440353567362,518.6094950837688,92.31484135433564,-2.837477405400705,-0.5501417890355843,True
Citricacid,1st,100,586.0006953530946,256.01874118821644,286.48366391953897,True,-486.00069535309456,-486.0006953530945,458.84606563447414,152.57561740935043,127.15462971862041,21.698716524901634,True
Citricacid,2nd,100,586.0006953530946,269.377395329171,286.48366391953897,True,-486.00069535309456,-486.0006953530945,490.96527552961106,151.86075291321023,95.0354198234835,16.21762919005069,True
Citricacid,3rd,100,586.0006953530946,339.6523691602516,286.48366391953897,False,-486.00069535309456,-486.0006953530945,481.529829486642,156.20276709938958,104.47086586645258,17.827771655373837,True
MSG,1st,50,453.9598268901783,294.2277249380024,910.7146009565714,False,-403.9598268901783,-807.9196537803566,460.9049623867086,35.83713681254044,-6.94513549653027,-1.529900904251255,True
MSG,2nd,50,453.9598268901783,315.9486380917163,910.7146009565714,False,-403.9598268901783,-807.9196537803566,460.9049623867086,35.83713681254044,-6.94513549653027,-1.529900904251255,True
MSG,3rd,50,453.9598268901783,293.39404906690123,910.7146009565714,False,-403.9598268901783,-807.9196537803566,460.9049623867086,35.83713681254044,-6.94513549653027,-1.529900904251255,True
MSG,1st,100,399.5554573855738,487.197259822933,910.7146009565714,False,-299.5554573855738,-299.5554573855738,460.9049623867086,35.83713681254044,-61.34950500113479,-15.354440508100003,False
MSG,2nd,100,453.9598268901783,546.9780906606752,910.7146009565714,False,-353.9598268901783,-353.9598268901783,460.9049623867086,35.83713681254044,-6.94513549653027,-1.529900904251255,True
MSG,3rd,100,399.5554573855738,559.0162102192472,910.7146009565714,False,-299.5554573855738,-299.5554573855738,460.9049623867086,35.83713681254044,-61.34950500113479,-15.354440508100003,False
MSG,1st,200,453.9598268901783,712.4591950806317,910.7146009565714,True,-253.9598268901783,-126.97991344508914,460.9049623867086,35.83713681254044,-6.94513549653027,-1.529900904251255,True
MSG,2nd,200,453.9598268901783,808.3782100585063,910.7146009565714,False,-253.9598268901783,-126.97991344508914,460.9049623867086,35.83713681254044,-6.94513549653027,-1.529900904251255,True
MSG,3rd,200,453.9598268901783,890.9349256253014,910.7146009565714,False,-253.9598268901783,-126.97991344508914,460.9049623867086,35.83713681254044,-6.94513549653027,-1.529900904251255,True
NaCl,1st,150,185.7526156946912,26.603903026223186,29.300957532129004,True,-35.7526156946912,-23.835077129794133,207.932144741211,14.647033505868471,-22.179529046519804,-11.94035893576582,False
NaCl,2nd,150,185.7526156946912,38.585120094452925,29.300957532129004,False,-35.7526156946912,-23.835077129794133,202.67811533130455,14.537591736153157,-16.925499636613353,-9.111849958782079,False
NaCl,3rd,150,185.7526156946912,39.773067082379875,29.300957532129004,False,-35.7526156946912,-23.835077129794133,202.56713715372211,14.535451067636975,-16.814521459030914,-9.052104809478315,False
NaCl,1st,200,239.78148618661447,79.23163178626497,42.309494359624686,False,-39.78148618661447,-19.890743093307236,264.5813124863295,15.289726049554547,-24.79982629971505,-10.342677699651139,False
NaCl,2nd,200,239.78148618661447,72.45760694419909,42.309494359624686,False,-39.78148618661447,-19.890743093307236,264.69623092250674,15.28150444428329,-24.91474473589227,-10.390604017068233,False
NaCl,3rd,200,239.78148618661447,63.84149383174835,42.309494359624686,False,-39.78148618661447,-19.890743093307236,263.6867315387843,15.342483311563724,-23.9052453521698,-9.96959595686428,False
NaCl,1st,250,272.43067251038207,104.93522613622079,89.97674059338694,False,-22.430672510382067,-8.972269004152826,268.39399572776676,15.398948713844328,4.036676782615302,1.4817262481563886,True
NaCl,2nd,250,272.43067251038207,116.95963071432593,89.97674059338694,False,-22.430672510382067,-8.972269004152826,275.8057807604777,15.190148271735199,-3.37510825009565,-1.2388870236214051,True
NaCl,3rd,250,272.43067251038207,108.10282882562088,89.97674059338694,False,-22.430672510382067,-8.972269004152826,273.2824001291492,15.267714328152225,-0.8517276187671428,-0.31264013369665056,True
