direction,reagent,r_squared,average_variance,mpiw,nmpiw,kernel_optimized,model_path,metric
particle2ae,Citricacid,0.9899066848429082,2267.8444447537418,183.4611601371711,0.5759057518812141,1.35**2 * RBF(length_scale=84.3) + WhiteKernel(noise_level=0.0129),results/SI/mean_and_mode/D50/gpr_model_particle2ae_Citricacid.joblib,D50
ae2particle,Citricacid,0.9992547910949708,1412.0443454644462,105.10001321764086,1.725819735224453,1.1**2 * RBF(length_scale=68.8) + WhiteKernel(noise_level=0.00186),results/SI/mean_and_mode/D50/gpr_model_ae2particle_Citricacid.joblib,D50
particle2ae,MSG,0.976610168992969,23215.4560353984,588.8090312492058,0.827645795091992,1.25**2 * RBF(length_scale=79.1) + WhiteKernel(noise_level=0.0304),results/SI/mean_and_mode/D50/gpr_model_particle2ae_MSG.joblib,D50
ae2particle,MSG,0.9861323824411248,155.6725977745345,48.45434281161826,0.6027138666222144,2.69**2 * RBF(length_scale=1.93e+03) + WhiteKernel(noise_level=0.0168),results/SI/mean_and_mode/D50/gpr_model_ae2particle_MSG.joblib,D50
particle2ae,NaCl,0.954634478645829,226.55712961001308,58.75374066456886,1.014887118681524,1.31**2 * RBF(length_scale=110) + WhiteKernel(noise_level=0.0541),results/SI/mean_and_mode/D50/gpr_model_particle2ae_NaCl.joblib,D50
ae2particle,NaCl,0.9730981345219312,186.44489956746804,52.788557396017886,0.8913704391131111,1.09**2 * RBF(length_scale=51.7) + WhiteKernel(noise_level=0.036),results/SI/mean_and_mode/D50/gpr_model_ae2particle_NaCl.joblib,D50
particle2ae,Citricacid,0.984382226769665,3981.556214094121,236.42840300278112,0.7421760393076455,1.12**2 * RBF(length_scale=55.7) + WhiteKernel(noise_level=0.0215),results/SI/mean_and_mode/Dmean/gpr_model_particle2ae_Citricacid.joblib,Dmean
ae2particle,Citricacid,0.9984368259230784,2047.8009893917292,135.45273218939326,2.001574248210905,1.09**2 * RBF(length_scale=53.5) + WhiteKernel(noise_level=0.00437),results/SI/mean_and_mode/Dmean/gpr_model_ae2particle_Citricacid.joblib,Dmean
particle2ae,MSG,0.9712142289740606,33102.42498458201,684.2770919942344,0.9618382664159726,1.3**2 * RBF(length_scale=57) + WhiteKernel(noise_level=0.0377),results/SI/mean_and_mode/Dmean/gpr_model_particle2ae_MSG.joblib,Dmean
ae2particle,MSG,0.9745452025032874,209.05122109455863,55.24000923741398,0.9904759589678482,1.76**2 * RBF(length_scale=771) + WhiteKernel(noise_level=0.0335),results/SI/mean_and_mode/Dmean/gpr_model_ae2particle_MSG.joblib,Dmean
particle2ae,NaCl,0.9528548942095092,255.3472274757036,62.1012035158758,1.0727097677525312,1.17**2 * RBF(length_scale=83.9) + WhiteKernel(noise_level=0.0571),results/SI/mean_and_mode/Dmean/gpr_model_particle2ae_NaCl.joblib,Dmean
ae2particle,NaCl,0.9609635239475828,217.38655231063888,57.10363692727752,1.0724706741643806,1.09**2 * RBF(length_scale=48.2) + WhiteKernel(noise_level=0.0524),results/SI/mean_and_mode/Dmean/gpr_model_ae2particle_NaCl.joblib,Dmean
particle2ae,Citricacid,0.620045539586834,103621.9149445188,1261.8620343775522,3.96113053648636,0.765**2 * RBF(length_scale=0.0619) + WhiteKernel(noise_level=0.436),results/SI/mean_and_mode/Dmode/gpr_model_particle2ae_Citricacid.joblib,Dmode
ae2particle,Citricacid,0.9966597822214472,19851.794954250367,525.2419857243491,2.4372464488162087,0.747**2 * RBF(length_scale=12.2) + WhiteKernel(noise_level=0.0171),results/SI/mean_and_mode/Dmode/gpr_model_ae2particle_Citricacid.joblib,Dmode
particle2ae,MSG,7.332632427581309e-06,506133.86172355374,2788.8089523645785,3.920024796227275,0.00316**2 * RBF(length_scale=1.98e-05) + WhiteKernel(noise_level=1),results/SI/mean_and_mode/Dmode/gpr_model_particle2ae_MSG.joblib,Dmode
ae2particle,MSG,0.3452562208919758,1284.3003749207417,140.48157630515854,3.92000000057742,0.437**2 * RBF(length_scale=0.00281) + WhiteKernel(noise_level=0.809),results/SI/mean_and_mode/Dmode/gpr_model_ae2particle_MSG.joblib,Dmode
particle2ae,NaCl,0.8862822241194374,586.7685118473552,94.2360226140314,1.6277929606690698,1.35**2 * RBF(length_scale=106) + WhiteKernel(noise_level=0.134),results/SI/mean_and_mode/Dmode/gpr_model_particle2ae_NaCl.joblib,Dmode
ae2particle,NaCl,0.9544607692301342,274.14407367041514,64.04552000938234,1.1776317216098298,1.19**2 * RBF(length_scale=45.2) + WhiteKernel(noise_level=0.062),results/SI/mean_and_mode/Dmode/gpr_model_ae2particle_NaCl.joblib,Dmode
