reagent,window_size,rmse,nlpd,n_samples,cv_method
Citricacid,3,111.65334420054114,5.307722600142323,21,group
Citricacid,4,146.56177189461727,5.405708165135443,21,group
Citricacid,5,165.60740406491186,7.020144201375401,18,group
Citricacid,6,200.19336553842902,7.763175951701975,18,group
Citricacid,7,278.63937200527624,9.082900401303386,18,group
MSG,3,387.12352429800467,9.466045804581878,21,group
MSG,4,401.18978295279527,9.895915050242147,21,group
MSG,5,156.56869942235048,8.399891512014921,18,group
MSG,6,230.3249592827597,10.371628873217992,18,group
MSG,7,280.8546096930396,11.408147976174373,18,group
NaCl,3,12.55532463212477,3.956347134118802,21,group
NaCl,4,12.985341571845073,4.026549523931356,21,group
NaCl,5,8.795296095970528,3.711760301950674,18,group
NaCl,6,8.952502757604876,3.6591779230783796,18,group
NaCl,7,12.30244559361952,4.004376967968371,18,group
all,3,650.5714041894747,9.087382938849602,63,group
all,4,749.0329128261769,9.667821048320537,63,group
all,5,441.6574268993558,12.620710152773482,54,group
all,6,439.99374722166846,11.518716348297595,54,group
all,7,569.2094621844652,12.398838843896211,54,group
