reagent,window_size,rmse,nlpd,n_samples,cv_method
Citricacid,3,111.65341603600673,5.3077227874175925,21,group
Citricacid,4,146.5617718068702,5.405708126685797,21,group
Citricacid,5,165.6074036514192,7.0201440944189,18,group
Citricacid,6,200.19336773094622,7.763175842595909,18,group
Citricacid,7,278.63936271172344,9.082901734603315,18,group
MSG,3,373.2658479447436,7.6333322497841865,21,group
MSG,4,459.0253320545099,8.12727512012471,21,group
MSG,5,459.2750307590934,7.257661389462527,18,group
MSG,6,506.274529700462,7.304720865620006,18,group
MSG,7,588.3991585589607,7.429510324599278,18,group
NaCl,3,12.55532363051095,3.956347015750011,21,group
NaCl,4,12.985341570354551,4.026549576453971,21,group
NaCl,5,8.795296177974965,3.7117602688777356,18,group
NaCl,6,8.952502553574902,3.6591779000932814,18,group
NaCl,7,12.302428304144733,4.004375938769921,18,group
all,3,758.6119657834001,9.391604909695381,63,group
all,4,838.2812193073349,9.464056841803725,63,group
all,5,568.8041961823932,9.965349678344163,54,group
all,6,628.1187350877578,9.578327517749031,54,group
all,7,718.3427513230873,9.271089426086645,54,group
