material,trial,grind_min,psd_file
Citricacid,1st,3,data/powder_size_distribution/exp2/Citricacid/1st/20251218_121608_Citricacid_grind3min.csv
Citricacid,1st,5,data/powder_size_distribution/exp2/Citricacid/1st/20251218_121959_Citricacid_grind5min.csv
Citricacid,1st,7,data/powder_size_distribution/exp2/Citricacid/1st/20251218_123055_Citricacid_grind7min.csv
Citricacid,1st,10,data/powder_size_distribution/exp2/Citricacid/1st/20251218_124732_Citricacid_grind10min.csv
Citricacid,1st,15,data/powder_size_distribution/exp2/Citricacid/1st/20251218_130632_Citricacid_grind15min.csv
Citricacid,1st,20,data/powder_size_distribution/exp2/Citricacid/1st/20251218_132818_Citricacid_grind20min.csv
Citricacid,1st,25,data/powder_size_distribution/exp2/Citricacid/1st/20251218_135707_Citricacid_grind25min.csv
Citricacid,2nd,3,data/powder_size_distribution/exp2/Citricacid/2nd/20251218_140359_Citricacid_grind3min_2nd.csv
Citricacid,2nd,5,data/powder_size_distribution/exp2/Citricacid/2nd/20251218_141245_Citricacid_grind5min_2nd.csv
Citricacid,2nd,7,data/powder_size_distribution/exp2/Citricacid/2nd/20251218_142310_Citricacid_grind7min_2nd.csv
Citricacid,2nd,10,data/powder_size_distribution/exp2/Citricacid/2nd/20251218_143630_Citricacid_grind10min_2nd.csv
Citricacid,2nd,15,data/powder_size_distribution/exp2/Citricacid/2nd/20251218_150045_Citricacid_grind15min_2nd.csv
Citricacid,2nd,20,data/powder_size_distribution/exp2/Citricacid/2nd/20251218_151810_Citricacid_grind20min_2nd.csv
Citricacid,2nd,25,data/powder_size_distribution/exp2/Citricacid/2nd/20251218_154738_Citricacid_grind25min_2nd.csv
Citricacid,3rd,3,data/powder_size_distribution/exp2/Citricacid/3rd/20251218_155531_Citricacid_grind3min_3rd.csv
Citricacid,3rd,5,data/powder_size_distribution/exp2/Citricacid/3rd/20251218_160554_Citricacid_grind5min_3rd.csv
Citricacid,3rd,7,data/powder_size_distribution/exp2/Citricacid/3rd/20251218_162525_Citricacid_grind7min_3rd.csv
Citricacid,3rd,10,data/powder_size_distribution/exp2/Citricacid/3rd/20251218_163124_Citricacid_grind10min_3rd.csv
Citricacid,3rd,15,data/powder_size_distribution/exp2/Citricacid/3rd/20251218_165218_Citricacid_grind15min_3rd.csv
Citricacid,3rd,20,data/powder_size_distribution/exp2/Citricacid/3rd/20251218_171820_Citricacid_grind20min_3rd.csv
Citricacid,3rd,25,data/powder_size_distribution/exp2/Citricacid/3rd/20251218_174304_Citricacid_grind25min_3rd.csv
