Material,Trial,Target_Size,Common_Measured_Value,AE2P_Predicted_Value,AE2P_Measured_Error,AE2P_m,AE2P_p,AE2P_p_ge_threshold,AE2P_Predicted_95PI
Citricacid,1st,20,127.68350092528809,130.2300789637259,-2.546578038437815,-0.4800134530048531,0.3156089135508342,True,10.398235557968109
Citricacid,2nd,20,97.6891622430055,127.55529909780441,-29.86613685479891,-5.681118664629032,6.690829501554418e-09,False,10.30389113324889
Citricacid,3rd,20,109.2956191817238,122.88140368477762,-13.58578450305383,-2.6241802216233587,0.004342890602169969,False,10.147221370913666
Citricacid,1st,50,176.0982203552344,189.17728598549274,-13.079065630258356,-2.237132031834042,0.012638855990360132,False,11.458853688796525
Citricacid,2nd,50,149.75001524808536,176.78381471045,-27.03379946236464,-3.9665806031272703,3.645556277198647e-05,False,13.358167209424685
Citricacid,3rd,50,160.47846165584406,188.6333543257805,-28.15489266993643,-4.956746430830004,3.5841715573248223e-07,False,11.133026553435162
Citricacid,1st,100,222.9976776599742,227.74976752341337,-4.752089863439181,-0.538474747090248,0.2951246673206662,True,17.2971827976545
Citricacid,2nd,100,233.9801671291208,237.63938056977076,-3.659213440649978,-0.4346383530002472,0.3319124758339588,True,16.501209095254133
Citricacid,3rd,100,245.5608384931271,237.41871002321233,8.14212846991478,0.9362128217431992,0.8254181885332723,True,17.04588041351389
MSG,1st,50,172.38799451909958,156.90588105419837,15.482113464901204,1.4161530147742438,0.9216346454987323,True,21.427728553784704
MSG,2nd,50,172.5700268352531,163.8924754963305,8.677551338922598,0.8050272918080139,0.7895980345660837,True,21.127234812238424
MSG,3rd,50,169.21132418225702,159.81152724855406,9.399796933702959,0.8657330275383384,0.8066817081873237,True,21.280927727158847
MSG,1st,100,217.63011965159174,211.74762712545538,5.88249252613636,0.5378952712919212,0.7046753233916918,True,21.43481448263186
MSG,2nd,100,226.6212563418271,211.46569835014273,15.155557991684361,1.3860982749998836,0.9171415514777516,True,21.430582664641033
MSG,3rd,100,213.65982972152773,206.34417134757416,7.315658373953568,0.6716557843068858,0.7490985719818939,True,21.34827205835171
MSG,1st,200,254.48314191210142,251.01979275919246,3.463349152908961,0.3158272436769896,0.6239331808805444,True,21.493283038761906
MSG,2nd,200,260.1013878039964,252.083448149943,8.017939654053379,0.7312641493177566,0.7676910880614732,True,21.49040362036934
MSG,3rd,200,254.489807827202,258.48375334156873,-3.993945514366743,-0.3609545786972723,0.35906670105930427,True,21.687308238093205
NaCl,1st,150,144.55472882122478,165.195380074079,-20.640651252854212,-1.5716067820711275,0.05802088631611518,True,25.74160210881765
NaCl,2nd,150,145.37910021940644,161.8212719606871,-16.442171741280674,-1.2607148624584412,0.10370579861177581,True,25.562208848769288
NaCl,3rd,150,157.4923069302213,161.75113963538868,-4.258832705167379,-0.32659332655783,0.3719877458187596,True,25.5587344362041
NaCl,1st,200,195.9227765353232,215.5749155898579,-19.6521390545347,-1.4385893232041165,0.07513345658059928,True,26.774974570990054
NaCl,2nd,200,215.76279716982575,215.83471291803647,-0.07191574821072777,-0.005266628096552127,0.4978989290901705,True,26.763778248421325
NaCl,3rd,200,193.81759088216933,213.79074540277435,-19.97315452060502,-1.458118482765319,0.07240394384798304,True,26.847875068521798
NaCl,1st,250,221.84433129020323,233.4535264071364,-11.609195116933165,-0.8463741322784514,0.19867203215541013,True,26.884118454725037
NaCl,2nd,250,253.82288255556503,240.31610826870767,13.506774286857365,0.9958655426231244,0.8403422603354034,True,26.58318464610135
NaCl,3rd,250,235.14385229202085,238.07059717935346,-2.926744887332603,-0.21490973924637669,0.4149188457420142,True,26.692229022694775
