material,trial,grind_min,psd_file
NaCl,1st,3,data/powder_size_distribution/exp2/NaCl/1st/20251216_164941_NaCl_grind3min.csv
NaCl,1st,5,data/powder_size_distribution/exp2/NaCl/1st/20251216_164235_NaCl_grind5min.csv
NaCl,1st,7,data/powder_size_distribution/exp2/NaCl/1st/20251216_163349_NaCl_grind7min.csv
NaCl,1st,10,data/powder_size_distribution/exp2/NaCl/1st/20251216_162250_NaCl_grind10min.csv
NaCl,1st,15,data/powder_size_distribution/exp2/NaCl/1st/20251216_160306_NaCl_grind15min.csv
NaCl,1st,20,data/powder_size_distribution/exp2/NaCl/1st/20251216_154602_NaCl_grind20min.csv
NaCl,1st,25,data/powder_size_distribution/exp2/NaCl/1st/20251216_151950_NaCl_grind25min.csv
NaCl,2nd,3,data/powder_size_distribution/exp2/NaCl/2nd/20251216_165636_NaCl_grind3min_2nd.csv
NaCl,2nd,5,data/powder_size_distribution/exp2/NaCl/2nd/20251216_170512_NaCl_grind5min_2nd.csv
NaCl,2nd,7,data/powder_size_distribution/exp2/NaCl/2nd/20251216_171550_NaCl_grind7min_2nd.csv
NaCl,2nd,10,data/powder_size_distribution/exp2/NaCl/2nd/20251216_172959_NaCl_grind10min_2nd.csv
NaCl,2nd,15,data/powder_size_distribution/exp2/NaCl/2nd/20251216_174816_NaCl_grind15min_2nd.csv
NaCl,2nd,20,data/powder_size_distribution/exp2/NaCl/2nd/20251216_181253_NaCl_grind20min_2nd.csv
NaCl,2nd,25,data/powder_size_distribution/exp2/NaCl/2nd/20251216_183806_NaCl_grind25min_2nd.csv
NaCl,3rd,3,data/powder_size_distribution/exp2/NaCl/3rd/20251217_131611_NaCl_grind3min_3rd.csv
NaCl,3rd,5,data/powder_size_distribution/exp2/NaCl/3rd/20251217_132359_NaCl_grind5min_3rd.csv
NaCl,3rd,7,data/powder_size_distribution/exp2/NaCl/3rd/20251217_133420_NaCl_grind7min_3rd.csv
NaCl,3rd,10,data/powder_size_distribution/exp2/NaCl/3rd/20251217_134827_NaCl_grind10min_3rd.csv
NaCl,3rd,15,data/powder_size_distribution/exp2/NaCl/3rd/20251217_140506_NaCl_grind15min_3rd.csv
NaCl,3rd,20,data/powder_size_distribution/exp2/NaCl/3rd/20251217_143538_NaCl_grind20min_3rd.csv
NaCl,3rd,25,data/powder_size_distribution/exp2/NaCl/3rd/20251217_150030_NaCl_grind25min_3rd.csv
