particle_size,ae_power_mV2,grind_min,trial,reagent
18.453740812559534,32.72457852392356,20.0,2nd,Citricacid
71.15463978513014,325.30473295532056,7.0,2nd,Citricacid
215.90739268948334,913.622851957277,3.0,2nd,Citricacid
27.58497634330672,75.07971483603745,15.0,2nd,Citricacid
46.70999829643976,131.734787918448,10.0,2nd,Citricacid
93.43347225025435,437.10516216630685,5.0,2nd,Citricacid
10.560157962762714,9.365517418630096,25.0,2nd,Citricacid
42.26410008821598,211.0044629096607,10.0,1st,Citricacid
189.48140183885516,1066.8746107772297,3.0,1st,Citricacid
23.787210951054842,65.6740475787897,15.0,1st,Citricacid
73.91293507932164,344.8849511123659,7.0,1st,Citricacid
84.85611281988605,440.4471545884482,5.0,1st,Citricacid
18.7411136779108,34.22249629495883,20.0,1st,Citricacid
9.589294128351922,9.729279923608882,25.0,1st,Citricacid
10.102362067389636,13.524612482432852,25.0,3rd,Citricacid
47.052841257836306,156.17602781668467,10.0,3rd,Citricacid
15.796326773824577,19.998465492446638,20.0,3rd,Citricacid
77.74233000371859,272.22088472813465,7.0,3rd,Citricacid
88.46155116233972,415.60282517417005,5.0,3rd,Citricacid
25.645740255664816,82.17547618732412,15.0,3rd,Citricacid
191.48701830993315,958.6843014681198,3.0,3rd,Citricacid
279.74269436288625,192.13426431677559,3.0,2nd,NaCl
220.75209138275542,135.13165484661187,5.0,2nd,NaCl
175.61142684273983,99.41674745402393,10.0,2nd,NaCl
91.0019009429722,30.803632999111972,25.0,2nd,NaCl
126.49750311137728,49.640868413126185,15.0,2nd,NaCl
203.2940435303171,104.47757691003085,7.0,2nd,NaCl
106.7339711820618,36.36632489298246,20.0,2nd,NaCl
201.70742683276794,121.61144405794352,7.0,1st,NaCl
107.56264719759174,35.632483476247586,20.0,1st,NaCl
130.57204005570912,53.81750437524697,15.0,1st,NaCl
179.82284685289918,79.17157714351703,10.0,1st,NaCl
269.97782588890203,163.38075042201757,3.0,1st,NaCl
228.53492173561162,154.01471914416487,5.0,1st,NaCl
107.32874197308082,31.939916912042552,25.0,1st,NaCl
150.01170749407112,52.65805361909085,15.0,3rd,NaCl
210.50012005624347,152.61166918259224,7.0,3rd,NaCl
103.70497934532547,25.218847114600877,25.0,3rd,NaCl
109.73604576110611,36.31387345908618,20.0,3rd,NaCl
230.04220408162487,151.66580164247893,5.0,3rd,NaCl
186.54069104017213,93.11159670173899,10.0,3rd,NaCl
262.2125823535421,216.13846793288405,3.0,3rd,NaCl
42.14216636018361,330.97165824646254,20.0,2nd,MSG
159.5896428765765,886.3034367815769,7.0,2nd,MSG
32.81502524411206,282.8228583604448,25.0,2nd,MSG
59.71707040913002,472.0883491179731,15.0,2nd,MSG
109.1456415080794,721.0649819088413,10.0,2nd,MSG
264.2967651902887,2786.4283614861006,3.0,2nd,MSG
160.48846679127,1117.0322155050296,5.0,2nd,MSG
34.513412956268645,349.67069699715745,25.0,1st,MSG
57.47145039841699,453.4562408752461,15.0,1st,MSG
105.62115068742577,734.6121047711752,10.0,1st,MSG
48.727801560438834,402.5636126213783,20.0,1st,MSG
138.6354578439367,816.7811583967558,7.0,1st,MSG
190.2622071322612,1171.7876078758973,5.0,1st,MSG
267.7751763748715,2244.7896460406014,3.0,1st,MSG
58.0591364847258,452.4265735382393,15.0,3rd,MSG
278.69065317877164,2478.265322692972,3.0,3rd,MSG
106.39138063860368,579.7866974864185,10.0,3rd,MSG
40.04637717945357,393.36549557763874,20.0,3rd,MSG
171.55451155384034,950.8452845815349,7.0,3rd,MSG
189.52598215195044,1162.8793263091093,5.0,3rd,MSG
32.787821559806076,337.0649909174458,25.0,3rd,MSG
