particle_size,ae_power_mV2,grind_min,trial,reagent
128.32965469292057,32.72457852392356,20.0,2nd,Citricacid
216.49374489723166,325.30473295532056,7.0,2nd,Citricacid
304.5014517732189,913.622851957277,3.0,2nd,Citricacid
151.6156537179458,75.07971483603745,15.0,2nd,Citricacid
189.41624245491838,131.734787918448,10.0,2nd,Citricacid
237.66923843876512,437.10516216630685,5.0,2nd,Citricacid
87.49605021875516,9.365517418630096,25.0,2nd,Citricacid
170.1599542134617,211.0044629096607,10.0,1st,Citricacid
294.5030887588014,1066.8746107772297,3.0,1st,Citricacid
142.12674269912546,65.6740475787897,15.0,1st,Citricacid
222.259767247349,344.8849511123659,7.0,1st,Citricacid
231.08350823408045,440.4471545884482,5.0,1st,Citricacid
128.01170913529467,34.22249629495883,20.0,1st,Citricacid
81.2560530706252,9.729279923608882,25.0,1st,Citricacid
87.33246048466121,13.524612482432852,25.0,3rd,Citricacid
184.07663705677967,156.17602781668467,10.0,3rd,Citricacid
111.53880247707909,19.998465492446638,20.0,3rd,Citricacid
226.38296720994774,272.22088472813465,7.0,3rd,Citricacid
237.2852187948502,415.60282517417005,5.0,3rd,Citricacid
148.63507449937921,82.17547618732412,15.0,3rd,Citricacid
294.55273220790696,958.6843014681198,3.0,3rd,Citricacid
309.5803363673092,192.13426431677559,3.0,2nd,NaCl
245.707739286297,135.13165484661187,5.0,2nd,NaCl
221.210618569214,99.41674745402393,10.0,2nd,NaCl
133.722387883344,30.803632999111972,25.0,2nd,NaCl
178.08450577507318,49.640868413126185,15.0,2nd,NaCl
237.17983508419016,104.47757691003085,7.0,2nd,NaCl
156.93411682440933,36.36632489298246,20.0,2nd,NaCl
227.64451417411183,121.61144405794352,7.0,1st,NaCl
138.33897740025697,35.632483476247586,20.0,1st,NaCl
165.3491000625475,53.81750437524697,15.0,1st,NaCl
207.99870015000482,79.17157714351703,10.0,1st,NaCl
299.5620779905936,163.38075042201757,3.0,1st,NaCl
253.57656393124756,154.01471914416487,5.0,1st,NaCl
150.80838853640293,31.939916912042552,25.0,1st,NaCl
189.320258453682,52.65805361909085,15.0,3rd,NaCl
236.45792725362037,152.61166918259224,7.0,3rd,NaCl
148.79789074105403,25.218847114600877,25.0,3rd,NaCl
148.48121175384716,36.31387345908618,20.0,3rd,NaCl
254.36378808117274,151.66580164247893,5.0,3rd,NaCl
213.81212797269592,93.11159670173899,10.0,3rd,NaCl
289.48999092245407,216.13846793288405,3.0,3rd,NaCl
165.3525029328127,287.1041998273362,20.0,2nd,MSG
200.6944725364178,797.4193450889063,10.0,2nd,MSG
244.38674180437027,1422.1666744477263,7.0,2nd,MSG
174.61188319301573,637.0536223491965,15.0,2nd,MSG
89.17338907622867,236.12320549555452,25.0,2nd,MSG
267.47024178713076,1502.0127988853385,5.0,2nd,MSG
302.26734479500095,2674.699550201119,3.0,2nd,MSG
324.27938954741217,2017.5805047835413,5.0,1st,MSG
171.7934809871417,903.3074476713481,15.0,1st,MSG
138.29781103112012,239.98640049518053,25.0,1st,MSG
326.357785059022,2925.968239588679,3.0,1st,MSG
207.8256140755066,1243.244419002741,10.0,1st,MSG
254.5603885417813,1595.4489664056614,7.0,1st,MSG
152.70299775277635,463.92802967225055,20.0,1st,MSG
276.0580727510852,1500.1238132026028,5.0,3rd,MSG
143.21122018732495,383.9958434482035,25.0,3rd,MSG
326.71705525072724,2681.0896349252803,3.0,3rd,MSG
176.881693448465,472.50554374656247,15.0,3rd,MSG
148.14293561668285,356.47465127926597,20.0,3rd,MSG
249.07390245045758,1120.1925552109892,7.0,3rd,MSG
212.3012915309179,900.6284457132554,10.0,3rd,MSG
