Material,Trial,Target_Size,Common_Measured_Value,AE2P_Predicted_Value,AE2P_Measured_Error,AE2P_m,AE2P_p,AE2P_p_ge_threshold,AE2P_Predicted_95PI
Citricacid,1st,20,515.7720176783681,577.0483146325269,-61.27629695415874,-1.4301499755811784,0.0763369896661637,True,83.97828485180007
Citricacid,2nd,20,5.91623420604064,522.7067575298734,-516.7905233238328,-14.858656926230289,0.0,False,68.16964889515704
Citricacid,3rd,20,5.91623420604064,405.0015176867745,-399.08528348073384,-10.479390273550813,0.0,False,74.64243006546573
Citricacid,1st,50,515.7720176783681,517.6713380104203,-1.8993203320521843,-0.02989702238819616,0.48807459028973116,True,124.5163415434994
Citricacid,2nd,50,515.7720176783681,471.24142239247453,44.53059528589358,0.29567240082807145,0.6162598618863419,True,295.1914568823867
Citricacid,3rd,50,515.7720176783681,518.6094950837688,-2.837477405400705,-0.030736958042418175,0.4877396584109365,True,180.93708905449785
Citricacid,1st,100,586.0006953530946,458.84606563447414,127.15462971862041,0.8333876138116671,0.7976869210017096,True,299.04821012232685
Citricacid,2nd,100,586.0006953530946,490.96527552961106,95.0354198234835,0.625806325863517,0.7342790089359272,True,297.6470757098921
Citricacid,3rd,100,586.0006953530946,481.529829486642,104.47086586645258,0.6688157182259087,0.7481934806123887,True,306.15742351480355
MSG,1st,50,453.9598268901783,460.9049623867086,-6.94513549653027,-0.19379716445706588,0.42316735367916514,True,70.24078815257927
MSG,2nd,50,453.9598268901783,460.9049623867086,-6.94513549653027,-0.19379716445706588,0.42316735367916514,True,70.24078815257927
MSG,3rd,50,453.9598268901783,460.9049623867086,-6.94513549653027,-0.19379716445706588,0.42316735367916514,True,70.24078815257927
MSG,1st,100,399.5554573855738,460.9049623867086,-61.34950500113479,-1.7118975023603682,0.04345777952753993,True,70.24078815257927
MSG,2nd,100,453.9598268901783,460.9049623867086,-6.94513549653027,-0.19379716445706588,0.42316735367916514,True,70.24078815257927
MSG,3rd,100,399.5554573855738,460.9049623867086,-61.34950500113479,-1.7118975023603682,0.04345777952753993,True,70.24078815257927
MSG,1st,200,453.9598268901783,460.9049623867086,-6.94513549653027,-0.19379716445706588,0.42316735367916514,True,70.24078815257927
MSG,2nd,200,453.9598268901783,460.9049623867086,-6.94513549653027,-0.19379716445706588,0.42316735367916514,True,70.24078815257927
MSG,3rd,200,453.9598268901783,460.9049623867086,-6.94513549653027,-0.19379716445706588,0.42316735367916514,True,70.24078815257927
NaCl,1st,150,185.7526156946912,207.932144741211,-22.179529046519804,-1.5142676527389227,0.06497898459892187,True,28.708185671502203
NaCl,2nd,150,185.7526156946912,202.67811533130455,-16.925499636613353,-1.1642574605064586,0.12215984515397427,True,28.493679802860186
NaCl,3rd,150,185.7526156946912,202.56713715372211,-16.814521459030914,-1.1567939227196233,0.12367828268686631,True,28.48948409256847
NaCl,1st,200,239.78148618661447,264.5813124863295,-24.79982629971505,-1.6219928479645698,0.052402439757152475,True,29.967863057126912
NaCl,2nd,200,239.78148618661447,264.69623092250674,-24.91474473589227,-1.630385596309054,0.051510013469132865,True,29.951748710795247
NaCl,3rd,200,239.78148618661447,263.6867315387843,-23.9052453521698,-1.5581079585827067,0.05960382920787166,True,30.0712672906649
NaCl,1st,250,272.43067251038207,268.39399572776676,4.036676782615302,0.26213976405974737,0.6033931544614715,True,30.181939479134883
NaCl,2nd,250,272.43067251038207,275.8057807604777,-3.37510825009565,-0.222190606024289,0.4120827533326319,True,29.77269061260099
NaCl,3rd,250,272.43067251038207,273.2824001291492,-0.8517276187671428,-0.05578619041860361,0.47775606813061416,True,29.92472008317836
