particle_size,ae_power_mV2,grind_min,trial,reagent
515.7720176783681,32.72457852392356,20.0,2nd,Citricacid
586.0006953530946,325.30473295532056,7.0,2nd,Citricacid
586.0006953530946,913.622851957277,3.0,2nd,Citricacid
515.7720176783681,75.07971483603745,15.0,2nd,Citricacid
515.7720176783681,131.734787918448,10.0,2nd,Citricacid
586.0006953530946,437.10516216630685,5.0,2nd,Citricacid
5.91623420604064,9.365517418630096,25.0,2nd,Citricacid
515.7720176783681,211.0044629096607,10.0,1st,Citricacid
586.0006953530946,1066.8746107772297,3.0,1st,Citricacid
515.7720176783681,65.6740475787897,15.0,1st,Citricacid
515.7720176783681,344.8849511123659,7.0,1st,Citricacid
586.0006953530946,440.4471545884482,5.0,1st,Citricacid
515.7720176783681,34.22249629495883,20.0,1st,Citricacid
5.91623420604064,9.729279923608882,25.0,1st,Citricacid
5.91623420604064,13.524612482432852,25.0,3rd,Citricacid
515.7720176783681,156.17602781668467,10.0,3rd,Citricacid
5.91623420604064,19.998465492446638,20.0,3rd,Citricacid
586.0006953530946,272.22088472813465,7.0,3rd,Citricacid
586.0006953530946,415.60282517417005,5.0,3rd,Citricacid
515.7720176783681,82.17547618732412,15.0,3rd,Citricacid
586.0006953530946,958.6843014681198,3.0,3rd,Citricacid
351.67112609992296,192.13426431677559,3.0,2nd,NaCl
272.43067251038207,135.13165484661187,5.0,2nd,NaCl
239.78148618661447,99.41674745402393,10.0,2nd,NaCl
163.49127594150298,30.803632999111972,25.0,2nd,NaCl
211.0451095247746,49.640868413126185,15.0,2nd,NaCl
272.43067251038207,104.47757691003085,7.0,2nd,NaCl
185.7526156946912,36.36632489298246,20.0,2nd,NaCl
272.43067251038207,121.61144405794352,7.0,1st,NaCl
185.7526156946912,35.632483476247586,20.0,1st,NaCl
211.0451095247746,53.81750437524697,15.0,1st,NaCl
272.43067251038207,79.17157714351703,10.0,1st,NaCl
309.5254454578579,163.38075042201757,3.0,1st,NaCl
309.5254454578579,154.01471914416487,5.0,1st,NaCl
185.7526156946912,31.939916912042552,25.0,1st,NaCl
239.78148618661447,52.65805361909085,15.0,3rd,NaCl
272.43067251038207,152.61166918259224,7.0,3rd,NaCl
163.49127594150298,25.218847114600877,25.0,3rd,NaCl
185.7526156946912,36.31387345908618,20.0,3rd,NaCl
309.5254454578579,151.66580164247893,5.0,3rd,NaCl
272.43067251038207,93.11159670173899,10.0,3rd,NaCl
309.5254454578579,216.13846793288405,3.0,3rd,NaCl
453.9598268901783,287.1041998273362,20.0,2nd,MSG
515.7720176783681,797.4193450889063,10.0,2nd,MSG
515.7720176783681,1422.1666744477263,7.0,2nd,MSG
399.5554573855738,637.0536223491965,15.0,2nd,MSG
45.613251862909266,236.12320549555452,25.0,2nd,MSG
453.9598268901783,1502.0127988853385,5.0,2nd,MSG
515.7720176783681,2674.699550201119,3.0,2nd,MSG
515.7720176783681,2017.5805047835413,5.0,1st,MSG
515.7720176783681,903.3074476713481,15.0,1st,MSG
45.613251862909266,239.98640049518053,25.0,1st,MSG
515.7720176783681,2925.968239588679,3.0,1st,MSG
453.9598268901783,1243.244419002741,10.0,1st,MSG
515.7720176783681,1595.4489664056614,7.0,1st,MSG
453.9598268901783,463.92802967225055,20.0,1st,MSG
453.9598268901783,1500.1238132026028,5.0,3rd,MSG
45.613251862909266,383.9958434482035,25.0,3rd,MSG
453.9598268901783,2681.0896349252803,3.0,3rd,MSG
399.5554573855738,472.50554374656247,15.0,3rd,MSG
309.5254454578579,356.47465127926597,20.0,3rd,MSG
453.9598268901783,1120.1925552109892,7.0,3rd,MSG
453.9598268901783,900.6284457132554,10.0,3rd,MSG
