Material,Trial,Target_D50,Common_Measured_D50,AE2P_Predicted_D50,AE2P_Measured_Error,AE2P_m,AE2P_p,AE2P_p_ge_threshold,label,AE2P_Predicted_95PI
Citricacid,1st,20,21.27200921944136,20.3364720015177,0.9355372179236632,0.11401819059662556,0.5453883132652404,True,Citricacid 1st 20 $\mu$m,16.082108806808655
Citricacid,2nd,20,14.075905155711364,19.72002245109134,-5.644117295379974,-0.6869710550598808,0.24605048432667886,True,Citricacid 2nd 20 $\mu$m,16.10325474044969
Citricacid,3rd,20,16.87195439981289,18.76694153526713,-1.8949871354542402,-0.2300668215652072,0.40901992296931905,True,Citricacid 3rd 20 $\mu$m,16.14389576133477
Citricacid,1st,50,46.069932009211314,46.094925559854985,-0.02499355064367137,-0.0029544421592090464,0.49882134982237747,True,Citricacid 1st 50 $\mu$m,16.580916674540894
Citricacid,2nd,50,31.44563631925701,40.9534381147778,-9.507801795520795,-1.1336272997574792,0.1284754583326751,True,Citricacid 2nd 50 $\mu$m,16.43864039195904
Citricacid,3rd,50,37.32884736783548,48.834808066229535,-11.505960698394055,-1.3548883205405493,0.08772657066588385,True,Citricacid 3rd 50 $\mu$m,16.644680323065355
Citricacid,1st,100,83.2364100795578,88.72914536388838,-5.492735284330578,-0.6476422229525172,0.2586081907322222,True,Citricacid 1st 100 $\mu$m,16.623006925348722
Citricacid,2nd,100,100.21029022100892,95.24681920261705,4.963471018391871,0.5808687898274792,0.7193355557766382,True,Citricacid 2nd 100 $\mu$m,16.74802187071791
Citricacid,3rd,100,111.58273301475734,94.88591456750754,16.696818447249797,1.9559591245624137,0.9747650152700926,True,Citricacid 3rd 100 $\mu$m,16.731312912242476
MSG,1st,50,53.10830157465986,43.05570475524465,10.052596819415214,0.8029534135449364,0.7889991691749507,True,MSG 1st 50 $\mu$m,24.538272624145407
MSG,2nd,50,54.937551801733015,50.336237581947344,4.601314219785671,0.37080559681986436,0.6446088337847823,True,MSG 2nd 50 $\mu$m,24.321574291558218
MSG,3rd,50,50.079034369876375,46.07750240330624,4.001531966570134,0.3208978512819247,0.6258560988380029,True,MSG 3rd 50 $\mu$m,24.4408076375276
MSG,1st,100,129.25126539829577,104.31078732439931,24.940478073896458,2.0398815637082666,0.9793189382836424,False,MSG 1st 100 $\mu$m,23.96381137734921
MSG,2nd,100,124.92381711475169,103.95166611564844,20.97215099910325,1.7154230904839356,0.9568661575231486,True,MSG 2nd 100 $\mu$m,23.96226108081953
MSG,3rd,100,123.9249330540139,97.55880516959245,26.36612788442146,2.158714461462934,0.9845638369258973,False,MSG 3rd 100 $\mu$m,23.939067243958142
MSG,1st,200,179.5878697069383,170.22875612670262,9.359113580235686,0.7505247259804355,0.7735306311614004,True,MSG 1st 200 $\mu$m,24.441383451156447
MSG,2nd,200,203.2903768968449,172.9991274790908,30.291249417754102,2.426396768867692,0.9923752059687745,False,MSG 2nd 200 $\mu$m,24.46873059697659
MSG,3rd,200,189.03287160734268,193.24204765493556,-4.209176047592877,-0.333847598590926,0.36924728174091126,True,MSG 3rd 200 $\mu$m,24.711829853210972
NaCl,1st,150,133.36230240096396,141.87717751417904,-8.514875113215084,-0.6200285091616733,0.267619508793167,True,NaCl 1st 150 $\mu$m,26.916754593214748
NaCl,2nd,150,123.80627634317088,137.56339659621102,-13.757120253040142,-1.0088136700330226,0.15653200192367478,True,NaCl 2nd 150 $\mu$m,26.728380569105532
NaCl,3rd,150,139.81226652875748,137.4733663900084,2.338900138749068,0.17153578637095515,0.5680987530137472,True,NaCl 3rd 150 $\mu$m,26.724710737819475
NaCl,1st,200,196.0690531306577,205.10743590968752,-9.038382779029831,-0.6342964855335828,0.26294367483641296,True,NaCl 1st 200 $\mu$m,27.92894277507476
NaCl,2nd,200,204.38753093854237,205.45522029835544,-1.0676893598130732,-0.07495626672926904,0.47012475402549686,True,NaCl 2nd 200 $\mu$m,27.918561536582956
NaCl,3rd,200,189.5014959569752,202.74687577336053,-13.245379816385338,-0.9272725334039627,0.1768925256810453,True,NaCl 3rd 200 $\mu$m,27.99710279869303
NaCl,1st,250,223.63154378301903,233.5221174179399,-9.890573634920884,-0.692173413539976,0.2444142163596384,True,NaCl 1st 250 $\mu$m,28.00674505150628
NaCl,2nd,250,252.0742303533549,242.6196771066365,9.454553246718405,0.668482344013158,0.7480871257435501,True,NaCl 2nd 250 $\mu$m,27.720888262088973
NaCl,3rd,250,238.22189823722172,239.75975676080787,-1.5378585235861522,-0.10833336530248869,0.4568656283347745,True,NaCl 3rd 250 $\mu$m,27.823401385275847
