Material,Trial,Target_D50,Common_Measured_Mean,P2AE_Total_Deviation,P2AE_Total_Deviation_Percent,AE2P_GPR_Prediction,AE2P_Estimation_Error,AE2P_Estimation_Error_Percent,AE2P_Est_Error_In_GPR_Range,num_AE2P_mu_GPR,num_AE2P_sigma_GPR,num_Common_mu_trial,num_Common_sigma_trial,Common_Measured_D50,Common_AE_Last_mV2,P2AE_AE_Threshold,P2AE_Is_ExpectedCross,AE2P_Predicted_D50,AE2P_Predicted_Sigma
Citricacid,1st,20,21.272009219441358,-1.2720092194413581,-6.360046097206791,20.69 ± N/A,0.5784474196829912,2.7192890606418336,,20.693561799758367,,21.272009219441358,,21.272009219441358,29.12474450995075,36.42290255992524,False,20.693561799758367,
Citricacid,2nd,20,14.075905155711363,5.924094844288637,29.62047422144319,20.08 ± N/A,-5.99937095090675,-42.621564187454595,,20.075276106618112,,14.075905155711363,,14.075905155711363,23.687833196648782,36.42290255992524,True,20.075276106618112,
Citricacid,3rd,20,16.87195439981289,3.128045600187111,15.640228000935554,19.11 ± N/A,-2.2391759118041143,-13.271585844429184,,19.111130311617003,,16.87195439981289,,16.87195439981289,14.641998937744976,36.42290255992524,False,19.111130311617003,
Citricacid,1st,50,46.069932009211314,3.930067990788686,7.860135981577372,44.51 ± N/A,1.5583049141784358,3.382477130347979,,44.51162709503288,,46.069932009211314,,46.069932009211314,127.34451766555364,153.5296863571915,True,44.51162709503288,
Citricacid,2nd,50,31.445636319257012,18.554363680742988,37.108727361485975,39.89 ± N/A,-8.440345821072569,-26.841071795719333,,39.88598214032958,,31.445636319257012,,31.445636319257012,79.4270416457337,153.5296863571915,False,39.88598214032958,
Citricacid,3rd,50,37.32884736783548,12.671152632164521,25.342305264329042,47.00 ± N/A,-9.67027173316469,-25.905626385606297,,46.99911910100017,,37.32884736783548,,37.32884736783548,119.27304976565908,153.5296863571915,True,46.99911910100017,
Citricacid,1st,100,83.2364100795578,16.7635899204422,16.7635899204422,90.18 ± N/A,-6.94104546311209,-8.338953417714439,,90.17745554266989,,83.2364100795578,,83.2364100795578,256.01874118821644,418.49724664142866,False,90.17745554266989,
Citricacid,2nd,100,100.21029022100892,-0.21029022100891837,-0.21029022100891837,97.63 ± N/A,2.575561677514358,2.570156888912388,,97.63472854349456,,100.21029022100892,,100.21029022100892,269.377395329171,418.49724664142866,False,97.63472854349456,
Citricacid,3rd,100,111.58273301475734,-11.582733014757338,-11.582733014757338,97.24 ± N/A,14.346909520077489,12.857643053231222,,97.23582349467985,,111.58273301475734,,111.58273301475734,339.6523691602516,418.49724664142866,False,97.23582349467985,
MSG,1st,50,43.63241767470192,6.3675823252980805,12.735164650596161,53.20 ± N/A,-9.56689746883304,-21.926122774489137,,53.19931514353496,,43.63241767470192,,43.63241767470192,401.0419676670302,474.6947675305546,False,53.19931514353496,
MSG,2nd,50,59.22383525724199,-9.223835257241987,-18.447670514483974,52.31 ± N/A,6.9127896492556715,11.672310006992268,,52.311045607986316,,59.22383525724199,,59.22383525724199,426.598558207979,474.6947675305546,True,52.311045607986316,
MSG,3rd,50,54.390941050657226,-4.390941050657226,-8.781882101314451,52.02 ± N/A,2.3752707883993764,4.3670338157730315,,52.01567026225785,,54.390941050657226,,54.390941050657226,426.2964094936548,474.6947675305546,False,52.01567026225785,
MSG,1st,100,146.6577888243003,-46.6577888243003,-46.6577888243003,91.88 ± N/A,54.78137478037644,37.35319836712246,,91.87641404392386,,146.6577888243003,,146.6577888243003,546.3795173187598,878.8775796716153,True,91.87641404392386,
MSG,2nd,100,136.44270542061878,-36.44270542061878,-36.44270542061878,94.18 ± N/A,42.266911763238255,30.97777314876594,,94.17579365738052,,136.44270542061878,,136.44270542061878,689.2517558575216,878.8775796716153,False,94.17579365738052,
MSG,3rd,100,93.1045625106424,6.8954374893576045,6.8954374893576045,91.36 ± N/A,1.7442634832456037,1.8734457648584346,,91.36029902739679,,93.1045625106424,,93.1045625106424,680.8959686935233,878.8775796716153,False,91.36029902739679,
MSG,1st,200,223.93992350836493,-23.939923508364927,-11.969961754182464,165.23 ± N/A,58.71248159617335,26.217960905028274,,165.22744191219158,,223.93992350836493,,223.93992350836493,877.1062792545425,1661.4440182663284,False,165.22744191219158,
MSG,2nd,200,328.5137707652646,-128.5137707652646,-64.2568853826323,203.46 ± N/A,125.05064545085767,38.06557185093195,,203.46312531440694,,328.5137707652646,,328.5137707652646,1299.1680252932726,1661.4440182663284,False,203.46312531440694,
MSG,3rd,200,248.87400775190187,-48.87400775190187,-24.437003875950936,205.60 ± N/A,43.27004598471032,17.38632586647838,,205.60396176719155,,248.87400775190187,,248.87400775190187,1183.435131962044,1661.4440182663284,False,205.60396176719155,
NaCl,1st,150,133.36230240096396,16.637697599036045,11.091798399357364,141.97 ± N/A,-8.606048975982475,-6.453134672276225,,141.96835137694643,,133.36230240096396,,133.36230240096396,26.603903026223186,46.937644723231536,True,141.96835137694643,
NaCl,2nd,150,123.80627634317088,26.19372365682912,17.46248243788608,138.30 ± N/A,-14.497802598212076,-11.710070786739859,,138.30407894138295,,123.80627634317088,,123.80627634317088,38.585120094452925,46.937644723231536,False,138.30407894138295,
NaCl,3rd,150,139.81226652875748,10.187733471242524,6.791822314161683,138.23 ± N/A,1.5860869441901855,1.1344404776271537,,138.2261795845673,,139.81226652875748,,139.81226652875748,39.773067082379875,46.937644723231536,False,138.2261795845673,
NaCl,1st,200,196.06905313065772,3.9309468693422787,1.9654734346711393,197.36 ± N/A,-1.2922011325959204,-0.6590540995446208,,197.36125426325364,,196.06905313065772,,196.06905313065772,79.23163178626497,89.83549202842205,False,197.36125426325364,
NaCl,2nd,200,204.38753093854234,-4.387530938542341,-2.1937654692711703,197.80 ± N/A,6.583507578816381,3.22109061574602,,197.80402335972596,,204.38753093854234,,204.38753093854234,72.45760694419909,89.83549202842205,False,197.80402335972596,
NaCl,3rd,200,189.5014959569752,10.498504043024809,5.2492520215124046,194.47 ± N/A,-4.970161587364856,-2.6227558586098403,,194.47165754434005,,189.5014959569752,,189.5014959569752,63.84149383174835,89.83549202842205,False,194.47165754434005,
NaCl,1st,250,223.63154378301905,26.368456216980945,10.547382486792378,244.58 ± N/A,-20.946284356093315,-9.36642657907718,,244.57782813911237,,223.63154378301905,,223.63154378301905,104.93522613622079,141.6358615996868,False,244.57782813911237,
NaCl,2nd,250,252.07423035335492,-2.0742303533549205,-0.8296921413419682,253.39 ± N/A,-1.3144296125346955,-0.5214454530683847,,253.38865996588962,,252.07423035335492,,252.07423035335492,116.95963071432593,141.6358615996868,False,253.38865996588962,
NaCl,3rd,250,238.22189823722175,11.778101762778249,4.7112407051113,250.93 ± N/A,-12.707883213853876,-5.334473156283619,,250.92978145107563,,238.22189823722175,,238.22189823722175,108.10282882562088,141.6358615996868,False,250.92978145107563,
