Material,Target_D50,Trial,theta_monotone_gp,theta_monotone_gp_sigma,reachable,cross_type,k_star,S_AE_at_k_star,min_S_AE,margin,n_cycles,Measured_D50
Citricacid,20,1st,38.026167952311226,13.093660359604588,True,last_cross,23,36.26458406911584,36.26458406911584,-1.7615838831953852,24,21.272009219441358
Citricacid,20,2nd,38.026167952311226,13.093660359604588,True,last_cross,28,33.95652859217297,33.95652859217297,-4.069639360138254,29,14.075905155711363
Citricacid,20,3rd,38.026167952311226,13.093660359604588,True,last_cross,26,30.385245777751003,30.385245777751003,-7.640922174560224,27,16.87195439981289
Citricacid,50,1st,148.66113414833336,13.92801328608341,True,last_cross,13,136.04917486421658,136.04917486421658,-12.611959284116779,14,46.069932009211314
Citricacid,50,2nd,148.66113414833336,13.92801328608341,True,last_cross,16,115.0393280158252,115.0393280158252,-33.621806132508155,17,31.445636319257012
Citricacid,50,3rd,148.66113414833336,13.92801328608341,True,last_cross,14,147.64047590765298,147.64047590765298,-1.0206582406803761,15,37.32884736783548
Citricacid,100,1st,422.1605790793676,17.422276406351575,True,last_cross,7,362.4283409777659,362.4283409777659,-59.732238101601695,8,83.2364100795578
Citricacid,100,2nd,422.1605790793676,17.422276406351575,True,last_cross,7,398.2921123969995,398.2921123969995,-23.86846668236808,8,100.21029022100892
Citricacid,100,3rd,422.1605790793676,17.422276406351575,True,last_cross,7,396.3997998335549,396.3997998335549,-25.760779245812728,8,111.58273301475734
MSG,50,1st,377.38892169607357,42.45335866406256,True,last_cross,24,338.63703961662355,338.63703961662355,-38.75188207945001,25,53.10830157465986
MSG,50,2nd,377.38892169607357,42.45335866406256,True,last_cross,24,370.07733704720016,370.07733704720016,-7.311584648873406,25,54.937551801733015
MSG,50,3rd,377.38892169607357,42.45335866406256,True,last_cross,27,351.6801200310383,351.6801200310383,-25.708801665035253,28,50.079034369876375
MSG,100,1st,608.4713984196121,62.13487790622656,True,last_cross,11,607.0577192961571,607.0577192961571,-1.41367912345504,12,129.25126539829577
MSG,100,2nd,608.4713984196121,62.13487790622656,True,last_cross,11,605.4434730808151,605.4434730808151,-3.02792533879699,12,124.92381711475167
MSG,100,3rd,608.4713984196121,62.13487790622656,True,last_cross,11,576.8193733577356,576.8193733577356,-31.652025061876543,12,123.9249330540139
MSG,200,1st,1064.9383236596966,56.75262630972429,True,last_cross,8,920.2946059091862,920.2946059091862,-144.6437177505104,9,179.5878697069383
MSG,200,2nd,1064.9383236596966,56.75262630972429,True,last_cross,7,934.4885327213893,934.4885327213893,-130.44979093830727,8,203.29037689684492
MSG,200,3rd,1064.9383236596966,56.75262630972429,True,last_cross,7,1041.9887066319604,1041.9887066319604,-22.949617027736167,8,189.03287160734268
NaCl,150,1st,46.80380660209457,4.92374789580117,True,last_cross,19,46.36089741868372,46.36089741868372,-0.4429091834108476,20,133.36230240096396
NaCl,150,2nd,46.80380660209457,4.92374789580117,True,last_cross,23,43.95892358010045,43.95892358010045,-2.8448830219941144,24,123.80627634317088
NaCl,150,3rd,46.80380660209457,4.92374789580117,True,last_cross,21,43.90811744380239,43.90811744380239,-2.8956891582921784,22,139.81226652875748
NaCl,200,1st,88.25298089162068,4.981439716435035,True,last_cross,12,86.14357163723021,86.14357163723021,-2.109409254390471,13,196.06905313065772
NaCl,200,2nd,88.25298089162068,4.981439716435035,True,last_cross,12,86.49338584268455,86.49338584268455,-1.7595950489361343,13,204.38753093854234
NaCl,200,3rd,88.25298089162068,4.981439716435035,True,last_cross,12,83.87542267241523,83.87542267241523,-4.377558219205454,13,189.5014959569752
NaCl,250,1st,142.1776914081659,4.772362743761805,True,last_cross,8,127.72186786886195,127.72186786886195,-14.455823539303964,9,223.63154378301905
NaCl,250,2nd,142.1776914081659,4.772362743761805,True,last_cross,7,136.7504019913146,136.7504019913146,-5.427289416851323,8,252.07423035335492
NaCl,250,3rd,142.1776914081659,4.772362743761805,True,last_cross,7,134.17704586819744,134.17704586819744,-8.000645539968474,8,238.22189823722175
