Material,Trial,Target_D50,Common_Measured_D50,AE2P_Predicted_D50,AE2P_Measured_Error,AE2P_m,AE2P_p,AE2P_p_ge_threshold,label,AE2P_Predicted_95PI
Citricacid,1st,20,21.27200921944136,20.336471703037915,0.9355375164034463,0.11401823392316614,0.5453883304380411,True,Citricacid 1st 20 $\mu$m,16.082107826599078
Citricacid,2nd,20,14.075905155711364,19.72002213552402,-5.6441169798126545,-0.6869710585919776,0.24605048321375733,True,Citricacid 2nd 20 $\mu$m,16.10325375730754
Citricacid,3rd,20,16.87195439981289,18.766941194632565,-1.8949867948196761,-0.23006679425575055,0.40901993357966054,True,Citricacid 3rd 20 $\mu$m,16.14389477569612
Citricacid,1st,50,46.069932009211314,46.094926268654206,-0.024994259442891575,-0.002954526099463163,0.49882131633520727,True,Citricacid 1st 50 $\mu$m,16.580915808111744
Citricacid,2nd,50,31.44563631925701,40.95343861620587,-9.507802296948864,-1.133627417345505,0.12847543366007846,True,Citricacid 2nd 50 $\mu$m,16.438639553775136
Citricacid,3rd,50,37.32884736783548,48.83480887472295,-11.505961506887473,-1.354888488073993,0.08772654397336943,True,Citricacid 3rd 50 $\mu$m,16.644679434509932
Citricacid,1st,100,83.2364100795578,88.72914513252809,-5.492735052970289,-0.6476422294637825,0.25860818862604396,True,Citricacid 1st 100 $\mu$m,16.62300605804429
Citricacid,2nd,100,100.21029022100892,95.24681860834434,4.963471612664577,0.5808688938189552,0.7193355908227999,True,Citricacid 2nd 100 $\mu$m,16.74802087759017
Citricacid,3rd,100,111.58273301475734,94.88591398918685,16.69681902557049,1.9559593079228668,0.9747650260709676,True,Citricacid 3rd 100 $\mu$m,16.731311923289102
MSG,1st,50,43.63241767470192,52.73804270447424,-9.10562502977232,-0.2776127700214993,0.39065481413971725,True,MSG 1st 50 $\mu$m,64.28747876753512
MSG,2nd,50,59.22383525724199,52.00798172927226,7.215853527969728,0.21988556262445927,0.5870198597431648,True,MSG 2nd 50 $\mu$m,64.320152473928
MSG,3rd,50,54.390941050657226,51.766408994497255,2.624532056159971,0.07996094619847326,0.5318658415540858,True,MSG 3rd 50 $\mu$m,64.33244070555736
MSG,1st,100,146.6577888243003,88.4265529808034,58.231235843496904,1.765607134783323,0.9612691088993869,True,MSG 1st 100 $\mu$m,64.64247906840299
MSG,2nd,100,136.44270542061878,90.73181900768978,45.710886412929,1.3854251157606372,0.9170387421939084,True,MSG 2nd 100 $\mu$m,64.6684807068418
MSG,3rd,100,93.1045625106424,87.91135756851003,5.193204942132368,0.15747629220802026,0.5625652545797981,True,MSG 3rd 100 $\mu$m,64.63627980987631
MSG,1st,200,223.93992350836493,167.25499485712584,56.68492865123909,1.7059064069928784,0.9559872466566959,True,MSG 1st 200 $\mu$m,65.1281100188121
MSG,2nd,200,328.5137707652646,209.78670689525603,118.72706387000858,3.511789939886437,0.9997774501722925,False,MSG 2nd 200 $\mu$m,66.26394208326194
MSG,3rd,200,248.87400775190187,212.13833518322667,36.7356725686752,1.0851205732777882,0.8610658717699169,True,MSG 3rd 200 $\mu$m,66.35384122992853
NaCl,1st,150,133.36230240096396,141.87716946282697,-8.514867061863015,-0.6200292877374036,0.26761925250311636,True,NaCl 1st 150 $\mu$m,26.91669534217186
NaCl,2nd,150,123.80627634317088,137.5633872890552,-13.757110945884335,-1.0088152239267942,0.1565316292409913,True,NaCl 2nd 150 $\mu$m,26.72832131634243
NaCl,3rd,150,139.81226652875748,137.47335706339712,2.3389094653603593,0.17153685071906308,0.5680991714258748,True,NaCl 3rd 150 $\mu$m,26.72465148386247
NaCl,1st,200,196.0690531306577,205.10746244687812,-9.038409316220424,-0.6342996998755768,0.2629426261722789,True,NaCl 1st 200 $\mu$m,27.928883244414326
NaCl,2nd,200,204.38753093854237,205.45524667145543,-1.067715732913058,-0.07495827818404305,0.47012395382231087,True,NaCl 2nd 200 $\mu$m,27.918501961469648
NaCl,3rd,200,189.5014959569752,202.74690305729624,-13.245407100321046,-0.9272764065279068,0.17689152046358392,True,NaCl 3rd 200 $\mu$m,27.99704352862551
NaCl,1st,250,223.63154378301903,233.5220858847588,-9.890542101739783,-0.6921726314303037,0.24441446191064625,True,NaCl 1st 250 $\mu$m,28.00668740593211
NaCl,2nd,250,252.0742303533549,242.6196458393512,9.454584514003699,0.668485963523722,0.7480882805869477,True,NaCl 2nd 250 $\mu$m,27.720829843257665
NaCl,3rd,250,238.22189823722172,239.7597243104196,-1.5378260731978912,-0.10833130530442152,0.4568664453468237,True,NaCl 3rd 250 $\mu$m,27.82334335396257
