particle_size,ae_power_mV2,grind_min,trial,reagent
20.95238237727873,32.72457852392356,20.0,2nd,Citricacid
80.67906187356799,325.30473295532056,7.0,2nd,Citricacid
245.01706086702865,913.622851957277,3.0,2nd,Citricacid
31.326813797361346,75.07971483603745,15.0,2nd,Citricacid
53.00556037892698,131.734787918448,10.0,2nd,Citricacid
105.95044161853116,437.10516216630685,5.0,2nd,Citricacid
11.973751670542075,9.365517418630096,25.0,2nd,Citricacid
47.92528273510931,211.0044629096607,10.0,1st,Citricacid
215.0545697221423,1066.8746107772297,3.0,1st,Citricacid
27.00597941999335,65.6740475787897,15.0,1st,Citricacid
83.85883030461127,344.8849511123659,7.0,1st,Citricacid
96.31591325484057,440.4471545884482,5.0,1st,Citricacid
21.28764287745452,34.22249629495883,20.0,1st,Citricacid
10.879752508521543,9.729279923608882,25.0,1st,Citricacid
11.463645143644198,13.524612482432852,25.0,3rd,Citricacid
53.38039672009373,156.17602781668467,10.0,3rd,Citricacid
17.915867690145802,19.998465492446638,20.0,3rd,Citricacid
88.22464810880143,272.22088472813465,7.0,3rd,Citricacid
100.38306343078706,415.60282517417005,5.0,3rd,Citricacid
29.078502752487978,82.17547618732412,15.0,3rd,Citricacid
217.24256599827507,958.6843014681198,3.0,3rd,Citricacid
317.41292771292296,192.13426431677559,3.0,2nd,NaCl
250.34739628377204,135.13165484661187,5.0,2nd,NaCl
199.1220481516194,99.41674745402393,10.0,2nd,NaCl
103.19010404436209,30.803632999111972,25.0,2nd,NaCl
143.7103282162174,49.640868413126185,15.0,2nd,NaCl
230.58208060076566,104.47757691003085,7.0,2nd,NaCl
121.0440279108103,36.36632489298246,20.0,2nd,NaCl
228.74296145947332,121.61144405794352,7.0,1st,NaCl
122.00630586726643,35.632483476247586,20.0,1st,NaCl
148.13398558016888,53.81750437524697,15.0,1st,NaCl
203.98940267906448,79.17157714351703,10.0,1st,NaCl
306.571141351922,163.38075042201757,3.0,1st,NaCl
259.1542252663572,154.01471914416487,5.0,1st,NaCl
121.73391737139079,31.939916912042552,25.0,1st,NaCl
170.13514220239023,52.65805361909085,15.0,3rd,NaCl
239.12283325123218,152.61166918259224,7.0,3rd,NaCl
117.59081421092277,25.218847114600877,25.0,3rd,NaCl
124.56660640116854,36.31387345908618,20.0,3rd,NaCl
260.8952998697897,151.66580164247893,5.0,3rd,NaCl
211.88622781228668,93.11159670173899,10.0,3rd,NaCl
297.40303957594193,216.13846793288405,3.0,3rd,NaCl
55.846606073833094,287.1041998273362,20.0,2nd,MSG
83.52710745822067,797.4193450889063,10.0,2nd,MSG
140.59348641070207,1422.1666744477263,7.0,2nd,MSG
69.06709951224448,637.0536223491965,15.0,2nd,MSG
31.730412616621745,236.12320549555452,25.0,2nd,MSG
209.17052694898257,1502.0127988853385,5.0,2nd,MSG
276.90775954114656,2674.699550201119,3.0,2nd,MSG
316.5369270518859,2017.5805047835413,5.0,1st,MSG
57.76734940011114,903.3074476713481,15.0,1st,MSG
36.91894237705781,239.98640049518053,25.0,1st,MSG
323.30416702765683,2925.968239588679,3.0,1st,MSG
94.73627381780474,1243.244419002741,10.0,1st,MSG
154.98392941357162,1595.4489664056614,7.0,1st,MSG
44.38841659521163,463.92802967225055,20.0,1st,MSG
236.1443567349311,1500.1238132026028,5.0,3rd,MSG
41.68731438292307,383.9958434482035,25.0,3rd,MSG
321.84577061041256,2681.0896349252803,3.0,3rd,MSG
67.88471303531155,472.50554374656247,15.0,3rd,MSG
48.632457112534865,356.47465127926597,20.0,3rd,MSG
172.46692995063407,1120.1925552109892,7.0,3rd,MSG
106.08318221465179,900.6284457132554,10.0,3rd,MSG
