Material,Trial,Target_D50,Common_Measured_Mean,P2AE_Total_Deviation,P2AE_Total_Deviation_Percent,AE2P_GPR_Prediction,AE2P_Estimation_Error,AE2P_Estimation_Error_Percent,AE2P_Est_Error_In_GPR_Range,num_AE2P_mu_GPR,num_AE2P_sigma_GPR,num_Common_AE_Last_mV2_mu_trial,num_Common_mu_trial,num_Common_sigma_trial,Common_Measured_D50,Common_AE_Last_mV2,AE2P_Predicted_D50,AE2P_Predicted_Sigma,AE2P_Estimation_Error_PM,AE2P_Estimation_Error_MP,AE2P_z_pred_PM,AE2P_z_pred_MP,AE2P_Estimation_Error_Percent_PM,AE2P_Estimation_Error_Percent_MP
Citricacid,1st,20,21.27200921944136,,,20.69 ± 1.91,0.5784474196829912,2.7192890606418336,True,20.693561799758367,1.9090964323271185,29.12474450995076,21.27200921944136,,21.27200921944136,29.12474450995076,20.693561799758367,1.9090964323271185,-0.5784474196829912,0.5784474196829912,-0.3029953908498404,0.3029953908498404,-2.7192890606418336,2.7192890606418336
Citricacid,2nd,20,14.075905155711364,,,20.08 ± 0.84,-5.999370950906746,-42.621564187454574,False,20.07527610661811,0.8367875048452649,23.68783319664877,14.075905155711364,,14.075905155711364,23.68783319664877,20.07527610661811,0.8367875048452649,5.999370950906746,-5.999370950906746,7.169527408294802,-7.169527408294802,42.621564187454574,-42.621564187454574
Citricacid,3rd,20,16.87195439981289,,,19.11 ± 1.76,-2.2391759118041143,-13.271585844429184,False,19.111130311617003,1.7600765029360703,14.641998937744976,16.87195439981289,,16.87195439981289,14.641998937744976,19.111130311617003,1.7600765029360703,2.2391759118041143,-2.2391759118041143,1.2722037411833147,-1.2722037411833147,13.271585844429184,-13.271585844429184
Citricacid,1st,50,46.069932009211314,,,44.51 ± 5.82,1.5583049141784358,3.382477130347979,True,44.51162709503288,5.815443527051732,127.34451766555364,46.069932009211314,,46.069932009211314,127.34451766555364,44.51162709503288,5.815443527051732,-1.5583049141784358,1.5583049141784358,-0.2679597707259403,0.2679597707259403,-3.382477130347979,3.382477130347979
Citricacid,2nd,50,31.44563631925701,,,39.89 ± 10.74,-8.440345821072569,-26.841071795719333,True,39.88598214032958,10.738678612842032,79.4270416457337,31.44563631925701,,31.44563631925701,79.4270416457337,39.88598214032958,10.738678612842032,8.440345821072569,-8.440345821072569,0.785976201110911,-0.785976201110911,26.841071795719333,-26.841071795719333
Citricacid,3rd,50,37.32884736783548,,,47.00 ± 9.18,-9.67027173316469,-25.905626385606297,False,46.99911910100017,9.178097323457632,119.27304976565908,37.32884736783548,,37.32884736783548,119.27304976565908,46.99911910100017,9.178097323457632,9.67027173316469,-9.67027173316469,1.053624884587914,-1.053624884587914,25.905626385606297,-25.905626385606297
Citricacid,1st,100,83.2364100795578,,,90.18 ± 10.75,-6.941045463112033,-8.33895341771437,True,90.17745554266985,10.752595015935077,256.0187411882164,83.2364100795578,,83.2364100795578,256.0187411882164,90.17745554266985,10.752595015935077,6.941045463112033,-6.941045463112033,0.6455228205680189,-0.6455228205680189,8.33895341771437,-8.33895341771437
Citricacid,2nd,100,100.21029022100892,,,97.63 ± 10.75,2.575561677514358,2.570156888912388,True,97.63472854349456,10.749413318398547,269.377395329171,100.21029022100892,,100.21029022100892,269.377395329171,97.63472854349456,10.749413318398547,-2.575561677514358,2.575561677514358,-0.2396002089812717,0.2396002089812717,-2.570156888912388,2.570156888912388
Citricacid,3rd,100,111.58273301475734,,,97.24 ± 10.77,14.346909520077489,12.857643053231222,False,97.23582349467983,10.766036188862248,339.6523691602516,111.58273301475734,,111.58273301475734,339.6523691602516,97.23582349467983,10.766036188862248,-14.346909520077489,14.346909520077489,-1.3326083312742112,1.3326083312742112,-12.857643053231222,12.857643053231222
MSG,1st,50,43.63241767470192,,,53.20 ± 14.42,-9.56689746883304,-21.926122774489137,True,53.19931514353496,14.420273678845266,401.0419676670302,43.63241767470192,,43.63241767470192,401.0419676670302,53.19931514353496,14.420273678845266,9.56689746883304,-9.56689746883304,0.663433835022688,-0.663433835022688,21.926122774489137,-21.926122774489137
